"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/gprEfDLcmc","http://ift.tt/2iI3VUk","ift.tt/2iI3VUk","29.0","52.0","0.0","52.0","0.0","null","null","822301218210988034","null","False","0.0","8.2230121821098803E17","null","False","Fri Jan 20 04:34:22 +0000 2017","null","False","[台權會訊息]2017台權會志工招募計畫：難民與無國籍者 https://t.co/gprEfDLcmc","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/5Z2OD2LBEx","http://ift.tt/2iZjJ3K","ift.tt/2iZjJ3K","35.0","58.0","0.0","58.0","0.0","null","null","822283299808772096","null","False","0.0","8.222832998087721E17","null","False","Fri Jan 20 03:23:10 +0000 2017","null","False","[環資訊息] 全球ICT產業綠電評比  宏碁、華碩、電信三雄列後段班 https://t.co/5Z2OD2LBEx","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4KdYCPCGJm","http://ift.tt/2jee1Zl","ift.tt/2jee1Zl","26.0","49.0","0.0","49.0","0.0","null","null","822278339582971904","null","False","0.0","8.222783395829719E17","null","False","Fri Jan 20 03:03:28 +0000 2017","null","False","[環資訊息]廖桂賢：為什麼社子島開發計劃引發質疑？ https://t.co/4KdYCPCGJm","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2RCiFn89f7","http://ift.tt/2k6wg2X","ift.tt/2k6wg2X","32.0","55.0","0.0","55.0","0.0","null","null","822275812598681604","null","False","0.0","8.222758125986816E17","null","False","Fri Jan 20 02:53:25 +0000 2017","null","False","[環資訊息]加灣鼠海豚剩不到60隻 美海軍訓練「海豚部隊」相救 https://t.co/2RCiFn89f7","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wGnkE5FGkp","http://ift.tt/2k6ycZf","ift.tt/2k6ycZf","28.0","51.0","0.0","51.0","0.0","null","null","822274521461911552","null","False","0.0","8.2227452146191155E17","null","False","Fri Jan 20 02:48:17 +0000 2017","null","False","法扶台北分會敬祝您新春愉快，金雞年大吉大利，財源滾滾到 https://t.co/wGnkE5FGkp","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/014nXNHlxs","http://ift.tt/2jEvJIW","ift.tt/2jEvJIW","37.0","60.0","0.0","60.0","0.0","null","null","822270695535247360","null","False","0.0","8.2227069553524736E17","null","False","Fri Jan 20 02:33:05 +0000 2017","null","False","[環資訊息]邀南部親子體會森林永續價值 科工館與台大共推「森林與我」特展 https://t.co/014nXNHlxs","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KUYyh5EvSf","http://ift.tt/2jEywSr","ift.tt/2jEywSr","31.0","54.0","0.0","54.0","0.0","null","null","822267788962185216","null","False","0.0","8.2226778896218522E17","null","False","Fri Jan 20 02:21:32 +0000 2017","null","False","[公督盟訊息]肯定新國會預算協商更透明！可惜仍是菜市場喊價！ https://t.co/KUYyh5EvSf","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wWzYkhJJym","http://ift.tt/2je8q5h","ift.tt/2je8q5h","30.0","53.0","0.0","53.0","0.0","null","null","822266509523292163","null","False","0.0","8.2226650952329216E17","null","False","Fri Jan 20 02:16:27 +0000 2017","null","False","[民主書院訊息]英捷專案出訪 蔡英文：中國很注意且觀察我們 https://t.co/wWzYkhJJym","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/s8Mzy3WJyn","http://ift.tt/2k8KaWu","ift.tt/2k8KaWu","28.0","51.0","0.0","51.0","0.0","null","null","822266506591502337","null","False","0.0","8.2226650659150234E17","null","False","Fri Jan 20 02:16:26 +0000 2017","null","False","[民主書院訊息]中國籲美禁止台灣代表團出席川普就職典禮 https://t.co/s8Mzy3WJyn","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4H3odtzoLc","http://ift.tt/2jehiaW","ift.tt/2jehiaW","39.0","62.0","0.0","62.0","0.0","null","null","822266504943194113","null","False","0.0","8.2226650494319411E17","null","False","Fri Jan 20 02:16:26 +0000 2017","null","False","[民主書院訊息]江蘇“環保公司”偷排毒物引發抗議 數百村民打砸工廠數十人被捕 https://t.co/4H3odtzoLc","zh","null","null","null"
