"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fKZRd5m2oV","https://twngo.cf/2ykMaxc","twngo.cf/2ykMaxc","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","940835996693917697","null","False","0.0","9.408359966939177E17","null","False","Wed Dec 13 06:49:16 +0000 2017","null","False","公民監督國會聯盟 just uploaded a video https://t.co/fKZRd5m2oV","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KTAcznzr96","https://twngo.cf/2z654LS","twngo.cf/2z654LS","25.0","48.0","","","","","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","940835060462292992","null","False","0.0","9.4083506046229299E17","null","False","Wed Dec 13 06:45:32 +0000 2017","null","False","[公民行動資料庫]以現代之名：精神病患人權的難題 https://t.co/KTAcznzr96","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/J5xsEUEBI1","https://twngo.cf/2AgMxuN","twngo.cf/2AgMxuN","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","940835058029645825","null","False","0.0","9.4083505802964582E17","null","False","Wed Dec 13 06:45:32 +0000 2017","null","False","[公民行動資料庫]【連署】 「維護龍發堂堂眾健康權倡議」連署書 https://t.co/J5xsEUEBI1","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pT8e47nuIr","https://twngo.cf/2nUpHYb","twngo.cf/2nUpHYb","42.0","65.0","","","","","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","940812190029893632","null","False","0.0","9.4081219002989363E17","null","False","Wed Dec 13 05:14:40 +0000 2017","null","False","[環資訊息]最後一刻自砍爭議風場無用 衝突牽罟、藻礁、三接站 桃新離岸「不應開發」 https://t.co/pT8e47nuIr","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/nL7PYBZLgq","https://twngo.cf/2AzgLNT","twngo.cf/2AzgLNT","35.0","58.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","940799834520506368","null","False","0.0","9.4079983452050637E17","null","False","Wed Dec 13 04:25:34 +0000 2017","null","False","[白絲帶協會]【你被程式設計了！ FB前高層：社群網站正在撕裂社會】 https://t.co/nL7PYBZLgq","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VtVfUJOaYT","https://twngo.cf/2C8hbI1","twngo.cf/2C8hbI1","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","940790184345591809","null","False","0.0","9.4079018434559181E17","null","False","Wed Dec 13 03:47:13 +0000 2017","null","False","[荒野訊息]2017淨灘行動後感-臺中松柏漁港 https://t.co/VtVfUJOaYT","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/HAxnoyW3F9","https://twngo.cf/2nRzdek","twngo.cf/2nRzdek","23.0","46.0","","","","","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","940790181967421440","null","False","0.0","9.4079018196742144E17","null","False","Wed Dec 13 03:47:13 +0000 2017","null","False","[荒野訊息]2017淨灘行動後感-宜蘭無尾港 https://t.co/HAxnoyW3F9","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8gEPq31oJx","https://twngo.cf/2nVkaR7","twngo.cf/2nVkaR7","15.0","38.0","","","","","","","","","","","","","","","","","","","0.0","38.0","0.0","null","null","940790178783858689","null","False","0.0","9.4079017878385869E17","null","False","Wed Dec 13 03:47:12 +0000 2017","null","False","[荒野訊息]它們為我織了溪流 https://t.co/8gEPq31oJx","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PE2Q9jgbWR","https://twngo.cf/2C9igiI","twngo.cf/2C9igiI","17.0","40.0","","","","","","","","","","","","","","","","","","","0.0","40.0","0.0","null","null","940790175227138048","null","False","0.0","9.4079017522713805E17","null","False","Wed Dec 13 03:47:11 +0000 2017","null","False","[荒野訊息]走讀城市溪流-大里溪 https://t.co/PE2Q9jgbWR","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VBbFYQbM0l","https://twngo.cf/2nR8tL4","twngo.cf/2nR8tL4","21.0","44.0","","","","","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","940790172182073346","null","False","0.0","9.4079017218207334E17","null","False","Wed Dec 13 03:47:10 +0000 2017","null","False","[荒野訊息]看見-新竹特導坊的寧靜與喧囂 https://t.co/VBbFYQbM0l","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
