"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LAuJO061yA","http://ift.tt/2hMePbm","ift.tt/2hMePbm","34.0","57.0","0.0","57.0","0.0","null","null","816180071455227905","null","False","0.0","8.161800714552279E17","null","False","Tue Jan 03 07:11:07 +0000 2017","null","False","[主婦聯盟訊息]輻射威脅下的３a如何可能？日本核災後的食品安全現況 https://t.co/LAuJO061yA","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LaQpzBg5H1","http://ift.tt/2hMeO5v","ift.tt/2hMeO5v","14.0","37.0","0.0","37.0","0.0","null","null","816150047263956992","null","False","0.0","8.1615004726395699E17","null","False","Tue Jan 03 05:11:49 +0000 2017","null","False","[司改會訊息]律師制度改革 https://t.co/LaQpzBg5H1","ja","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Qckm5077q9","http://ift.tt/2iJGWVl","ift.tt/2iJGWVl","43.0","66.0","0.0","66.0","0.0","null","null","816150033011789825","null","False","0.0","8.1615003301178982E17","null","False","Tue Jan 03 05:11:45 +0000 2017","null","False","[愛滋感染者權益]【權促電子報】第17期：捐血禁令可望放寬 男男性行為不再永不得捐血 https://t.co/Qckm5077q9","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JxqancI1Pw","http://ift.tt/2hM3HLF","ift.tt/2hM3HLF","18.0","41.0","0.0","41.0","0.0","null","null","816146079532154880","null","False","0.0","8.1614607953215488E17","null","False","Tue Jan 03 04:56:03 +0000 2017","null","False","[永社]美河市案 大法官打臉馬英九 https://t.co/JxqancI1Pw","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YM3DEl8wAO","http://ift.tt/2hJ4ZCa","ift.tt/2hJ4ZCa","17.0","40.0","0.0","40.0","0.0","null","null","816142322974990336","null","False","0.0","8.1614232297499034E17","null","False","Tue Jan 03 04:41:07 +0000 2017","null","False","[永社]美河市案 馬英九違憲確定 https://t.co/YM3DEl8wAO","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/g2G63pwgkj","http://ift.tt/2hMesf6","ift.tt/2hMesf6","21.0","44.0","0.0","44.0","0.0","null","null","816137900572213248","null","False","0.0","8.1613790057221325E17","null","False","Tue Jan 03 04:23:33 +0000 2017","null","False","[親子共學訊息]三歲的孩子會自己掃地嗎？ https://t.co/g2G63pwgkj","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OeC0OLbJlj","http://ift.tt/2j2xNL6","ift.tt/2j2xNL6","36.0","59.0","0.0","59.0","0.0","null","null","816126492342185984","null","False","0.0","8.1612649234218598E17","null","False","Tue Jan 03 03:38:13 +0000 2017","null","False","[環資訊息]【哨兵之歌】避冬好去處 走訪小琉球人文風景 讓潮間帶喘口氣 https://t.co/OeC0OLbJlj","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VvThgqY3di","http://ift.tt/2iJtctI","ift.tt/2iJtctI","41.0","64.0","0.0","64.0","0.0","null","null","816121588600991749","null","False","0.0","8.1612158860099174E17","null","False","Tue Jan 03 03:18:44 +0000 2017","null","False","[環資訊息]傳統領域劃設公聽會  學者質疑：排除私人土地  妨礙傳統知識完整傳承 https://t.co/VvThgqY3di","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jxeIwZsRXJ","http://ift.tt/2hLYvWh","ift.tt/2hLYvWh","28.0","51.0","0.0","51.0","0.0","null","null","816110884149927936","null","False","0.0","8.1611088414992794E17","null","False","Tue Jan 03 02:36:12 +0000 2017","null","False","[民主書院訊息]元旦升五星旗 彰化縣長痛批「認賊作父」 https://t.co/jxeIwZsRXJ","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UBVto44aZN","http://ift.tt/2ix3vgn","ift.tt/2ix3vgn","30.0","53.0","0.0","53.0","0.0","null","null","816110882388344832","null","False","0.0","8.1611088238834483E17","null","False","Tue Jan 03 02:36:11 +0000 2017","null","False","[民主書院訊息]再有數百僧尼及外籍學佛者從喇榮佛學院遭驅逐 https://t.co/UBVto44aZN","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/3GdOQpnTcO","http://ift.tt/2hM0cDn","ift.tt/2hM0cDn","34.0","57.0","0.0","57.0","0.0","null","null","816110879813107712","null","False","0.0","8.1611087981310771E17","null","False","Tue Jan 03 02:36:11 +0000 2017","null","False","[民主書院訊息]北京公安嚴冬砸鍋爐 勞工NGO皮村工友之家再遭逼遷 https://t.co/3GdOQpnTcO","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CYB1wBEVL8","http://ift.tt/2j2iAcE","ift.tt/2j2iAcE","29.0","52.0","0.0","52.0","0.0","null","null","816108525252476928","null","False","0.0","8.1610852525247693E17","null","False","Tue Jan 03 02:26:49 +0000 2017","null","False","[民主書院訊息]年末近千老兵北京上訪遭警察鎮壓 多人被拘 https://t.co/CYB1wBEVL8","ja","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/H7eKMlZPEp","http://ift.tt/2i49wjF","ift.tt/2i49wjF","27.0","50.0","0.0","50.0","0.0","null","null","816108523817996288","null","False","0.0","8.1610852381799629E17","null","False","Tue Jan 03 02:26:49 +0000 2017","null","False","[民主書院訊息]香港數千民主派元旦游行 抗議北京釋法 https://t.co/H7eKMlZPEp","zh","","null","null","null"
