"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NYfcKfBrfe","https://twngo.cf/2lscx0w","twngo.cf/2lscx0w","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","1010005592159776768","null","False","0.0","1.01000559215977677E18","null","False","Fri Jun 22 03:44:32 +0000 2018","null","False","[環資訊息]澎湖能源小旅行  踏查低碳島「風光」現況 https://t.co/NYfcKfBrfe","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/B7LqGNQzIX","https://twngo.cf/2lqITZt","twngo.cf/2lqITZt","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","1010002083930624000","null","False","0.0","1.010002083930624E18","null","False","Fri Jun 22 03:30:36 +0000 2018","null","False","[白絲帶協會]【調查：數百隻「水獺寶寶」被放上FB等社群平台出售】 https://t.co/B7LqGNQzIX","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6iPY4U5ZlQ","https://twngo.cf/2Idk1xi","twngo.cf/2Idk1xi","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","1009992925600796679","null","False","0.0","1.00999292560079667E18","null","False","Fri Jun 22 02:54:12 +0000 2018","null","False","[環資訊息]紐西蘭海洋熱浪  驚見3000公里外熱帶魚出沒 https://t.co/6iPY4U5ZlQ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/P0zgJ9EMat","https://twngo.cf/2tgKzJ4","twngo.cf/2tgKzJ4","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","1.0","null","null","1009990450311286784","null","False","0.0","1.00999045031128678E18","null","False","Fri Jun 22 02:44:22 +0000 2018","null","False","[環資訊息]《前進》 影像是個照妖鏡，你看見了什麼？ https://t.co/P0zgJ9EMat","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6lLRwyiGhb","https://twngo.cf/2tlJf7S","twngo.cf/2tlJf7S","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","1009979551831781378","null","False","0.0","1.00997955183178138E18","null","False","Fri Jun 22 02:01:04 +0000 2018","null","False","[白絲帶協會]【青少年熬夜玩手機易變胖 甚至導致心理健康出問題】 https://t.co/6lLRwyiGhb","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Lhxh1RcUeB","https://twngo.cf/2MLGxRq","twngo.cf/2MLGxRq","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","1009812747566174209","null","False","0.0","1.00981274756617421E18","null","False","Thu Jun 21 14:58:15 +0000 2018","null","False","[荒野基金會]講座：尋找台灣百合／駱明永 https://t.co/Lhxh1RcUeB","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/o8CATz6Djy","https://twngo.cf/2trrXFM","twngo.cf/2trrXFM","40.0","63.0","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","1009786069863280640","null","False","0.0","1.00978606986328064E18","null","False","Thu Jun 21 13:12:14 +0000 2018","null","False","[崔媽媽基金會]107.06.21 - 【崔媽媽居住電子報】租屋安全 由我守護 https://t.co/o8CATz6Djy","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wx2DLzISj5","https://twngo.cf/2IasocI","twngo.cf/2IasocI","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","1009762655803002880","null","False","0.0","1.00976265580300288E18","null","False","Thu Jun 21 11:39:12 +0000 2018","null","False","[荒野訊息]別讓我們的方便成為地球的塑便 https://t.co/wx2DLzISj5","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/EYlWPm2VbR","https://twngo.cf/2K3yPA1","twngo.cf/2K3yPA1","50.0","73.0","","","","","","","","","","","","","","","0.0","73.0","0.0","null","null","1009761389286699010","null","False","0.0","1.00976138928669901E18","null","False","Thu Jun 21 11:34:10 +0000 2018","null","False","[愛滋感染者權益促進會]【會後新聞稿】揭開愛滋面紗、扭轉汙名現況—台灣愛滋汙名與歧視調查發布記者會 https://t.co/EYlWPm2VbR","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hwPf96o2cP","https://twngo.cf/2tsEl8e","twngo.cf/2tsEl8e","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","1009759161616195584","null","False","0.0","1.00975916161619558E18","null","False","Thu Jun 21 11:25:19 +0000 2018","null","False","[綠色和平台灣]別讓我們的方便  成為地球的塑便 https://t.co/hwPf96o2cP","zh","null","null","null","","","","","","","","","","","","","",""
