"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/opeOK1oIAk","http://to.twngo.xyz/2uH7I6z","to.twngo.xyz/2uH7I6z","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","884261528601600001","null","False","0.0","8.842615286016E17","null","False","Mon Jul 10 04:02:31 +0000 2017","null","False","[環資訊息]環評子法公聽 「都市土地免環評」反彈大 將踩煞車 https://t.co/opeOK1oIAk","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yI2y52ew16","http://to.twngo.xyz/2sF9OT5","to.twngo.xyz/2sF9OT5","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","884257935161008130","null","False","0.0","8.8425793516100813E17","null","False","Mon Jul 10 03:48:15 +0000 2017","null","False","[白絲帶協會]化身正義？ 日本廣告提醒網路審慎發言別傷人 https://t.co/yI2y52ew16","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9LR7a8EMCP","http://to.twngo.xyz/2uGGGwt","to.twngo.xyz/2uGGGwt","23.0","46.0","","","","","","","","","","","","","","","0.0","46.0","0.0","null","null","884250171625926656","null","False","0.0","8.8425017162592666E17","null","False","Mon Jul 10 03:17:24 +0000 2017","null","False","[環資訊息]小學生辦桌 一場獨一無二的謝師宴 https://t.co/9LR7a8EMCP","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/uqVkLlLA1k","http://to.twngo.xyz/2u7VUgH","to.twngo.xyz/2u7VUgH","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","884250169717534720","null","False","0.0","8.8425016971753472E17","null","False","Mon Jul 10 03:17:23 +0000 2017","null","False","[環資訊息]山雨欲來馬頭山  掩埋場預定地的爭議 https://t.co/uqVkLlLA1k","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","60.0","66.0","https://t.co/uR4jDDNPCi","http://to.twngo.xyz/2ty9CIn","to.twngo.xyz/2ty9CIn","36.0","59.0","","","","","","","","","","","","","","","0.0","72.0","0.0","null","null","884243957907116033","null","False","0.0","8.8424395790711603E17","null","False","Mon Jul 10 02:52:42 +0000 2017","null","False","[民主書院訊息]官方首認“習包子”是“黨和國家領導人” 發帖網民遭行拘 https://t.co/uR4jDDNPCi #China #中國人權","zh","null","null","null","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","67.0","72.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","57.0","63.0","https://t.co/Yi3yZA2mP4","http://to.twngo.xyz/2t3QIWl","to.twngo.xyz/2t3QIWl","33.0","56.0","","","","","","","","","","","","","","","0.0","69.0","0.0","null","null","884243955164082176","null","False","0.0","8.8424395516408218E17","null","False","Mon Jul 10 02:52:42 +0000 2017","null","False","[民主書院訊息]湖南張劉曉波肝癌終末期 美、德專家抵沈陽為其會診 https://t.co/Yi3yZA2mP4 #China #中國人權","zh","null","null","null","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","48.0","54.0","https://t.co/crRJBYq8FT","http://to.twngo.xyz/2txDO6p","to.twngo.xyz/2txDO6p","24.0","47.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","884243951988985860","null","False","0.0","8.8424395198898586E17","null","False","Mon Jul 10 02:52:41 +0000 2017","null","False","[民主書院訊息]北京家庭教會活動警察突登門查證 https://t.co/crRJBYq8FT #China #中國人權","zh","null","null","null","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","55.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
