"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Vlofi749Kg","http://ift.tt/2ciJPs6","ift.tt/2ciJPs6","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","774515162690752512","null","False","0.0","7.7451516269075251E17","null","False","Sat Sep 10 07:49:39 +0000 2016","null","False","[環資訊息]PM2.5防制啟動門檻太高  環署修法遭批「打假球」 https://t.co/Vlofi749Kg","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/SiJ31EOZTF","http://ift.tt/2bZfle1","ift.tt/2bZfle1","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","774506241687191552","null","False","0.0","7.7450624168719155E17","null","False","Sat Sep 10 07:14:12 +0000 2016","null","False","勵馨基金會 just uploaded a video https://t.co/SiJ31EOZTF","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wXmBw0hs2T","http://ift.tt/2cqJGYr","ift.tt/2cqJGYr","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","774434644943134720","null","False","0.0","7.7443464494313472E17","null","False","Sat Sep 10 02:29:42 +0000 2016","null","False","[環資訊息]核災該跑多遠看天氣？ 研究：核四輻射最遠可達屏東 https://t.co/wXmBw0hs2T","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fCdFxeDqBK","http://ift.tt/2cj0Nd8","ift.tt/2cj0Nd8","25.0","48.0","","","","","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","774234802446794752","null","False","0.0","7.7423480244679475E17","null","False","Fri Sep 09 13:15:36 +0000 2016","null","False","[綠色和平台灣]愛您所愛的地球：生活上的減塑9招 https://t.co/fCdFxeDqBK","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Dc7Wepv9Aw","http://ift.tt/2cb2YxM","ift.tt/2cb2YxM","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","774206083950936064","null","False","0.0","7.7420608395093606E17","null","False","Fri Sep 09 11:21:29 +0000 2016","null","False","[環資訊息]跟上國際生態旅遊腳步  台灣西岸濕地「錢」力無窮 https://t.co/Dc7Wepv9Aw","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0wftUSSFZc","http://ift.tt/2com4nk","ift.tt/2com4nk","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","774172860281520128","null","False","0.0","7.7417286028152013E17","null","False","Fri Sep 09 09:09:27 +0000 2016","null","False","[伴侶盟訊息]【性／別等扎根】審議民主工作坊（花蓮） https://t.co/0wftUSSFZc","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/3KWJUu45CI","http://ift.tt/2caOYUN","ift.tt/2caOYUN","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","774172857228103682","null","False","0.0","7.7417285722810368E17","null","False","Fri Sep 09 09:09:27 +0000 2016","null","False","[伴侶盟訊息]【花蓮講座】如何提升花蓮同志人權：我們可以做些什麼？ https://t.co/3KWJUu45CI","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dSAyGiUDf3","http://ift.tt/2cbTb9q","ift.tt/2cbTb9q","22.0","45.0","","","","","","","","","","","","","","","","","","","0.0","45.0","0.0","null","null","774168637808664576","null","False","0.0","7.7416863780866458E17","null","False","Fri Sep 09 08:52:41 +0000 2016","null","False","[平冤訊息]《平冤週報》  9/3~9/9 https://t.co/dSAyGiUDf3","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/n98PsLFQBL","http://ift.tt/2c4iGyT","ift.tt/2c4iGyT","20.0","43.0","","","","","","","","","","","","","","","","","","","0.0","43.0","0.0","null","null","774168030926376961","null","False","0.0","7.7416803092637696E17","null","False","Fri Sep 09 08:50:16 +0000 2016","null","False","[環盟訊息]綠能公益咖啡車計畫義工培訓 https://t.co/n98PsLFQBL","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/JlnZaIWPvv","http://ift.tt/2co7P1O","ift.tt/2co7P1O","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","774164071360761856","null","False","0.0","7.7416407136076186E17","null","False","Fri Sep 09 08:34:32 +0000 2016","null","False","[環資訊息]水下噪音嚴重衝擊生態  千架風機恐成白海豚詛咒 https://t.co/JlnZaIWPvv","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zFzHeIVt6k","http://ift.tt/2co3USI","ift.tt/2co3USI","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","774155299972276224","null","False","0.0","7.7415529997227622E17","null","False","Fri Sep 09 07:59:41 +0000 2016","null","False","[司改會訊息]【跳TONE講座】 穩紮穩打每一步 走出你的律師路 https://t.co/zFzHeIVt6k","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Dv7agAvZ5C","http://ift.tt/2bWKu1I","ift.tt/2bWKu1I","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","774108775733002240","null","False","0.0","7.7410877573300224E17","null","False","Fri Sep 09 04:54:49 +0000 2016","null","False","[高教工會訊息]資方團體屢次阻擋勞工權益 勞團集結算總帳！記者會\n https://t.co/Dv7agAvZ5C","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qYwedODpkL","http://ift.tt/2cer7Su","ift.tt/2cer7Su","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","774089333271691264","null","False","0.0","7.7408933327169126E17","null","False","Fri Sep 09 03:37:33 +0000 2016","null","False","[蠻野心足訊息][聯合新聞稿]人無信不立，「狼來了」市長信用破產 https://t.co/qYwedODpkL","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fn95f8EzL9","http://ift.tt/2c3zYMv","ift.tt/2c3zYMv","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","774080602832199681","null","False","0.0","7.7408060283219968E17","null","False","Fri Sep 09 03:02:52 +0000 2016","null","False","[民主書院訊息]甘肃农民一家六口喝农药自杀 家属求真相 https://t.co/fn95f8EzL9","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yEjQ6RitRV","http://ift.tt/2c9QhU2","ift.tt/2c9QhU2","38.0","61.0","","","","","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","774078050107469824","null","False","0.0","7.7407805010746982E17","null","False","Fri Sep 09 02:52:43 +0000 2016","null","False","[民主書院訊息]长沙逼拆之后又抢尸 家人六日未见遗体 两百越战老兵守护灵堂 https://t.co/yEjQ6RitRV","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/u0kyQJJK9r","http://ift.tt/2cmVivO","ift.tt/2cmVivO","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","774078047033053184","null","False","0.0","7.7407804703305318E17","null","False","Fri Sep 09 02:52:42 +0000 2016","null","False","[民主書院訊息]香港立法会参选人交代遭北京胁迫弃选内幕 https://t.co/u0kyQJJK9r","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/uqIDxeOCNA","http://ift.tt/2ctyUOh","ift.tt/2ctyUOh","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","774076771297878016","null","False","0.0","7.7407677129787802E17","null","False","Fri Sep 09 02:47:38 +0000 2016","null","False","[民主書院訊息]德国政府批评中国阻挠记者采访G20 https://t.co/uqIDxeOCNA","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/QlsC9V0zej","http://ift.tt/2c3wZDy","ift.tt/2c3wZDy","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","774075991253721088","null","False","0.0","7.7407599125372109E17","null","False","Fri Sep 09 02:44:32 +0000 2016","null","False","[環資訊息]專訪林華慶（下）：人在里山  野生動物是環境安全指標 https://t.co/QlsC9V0zej","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2R7JeWTepq","http://ift.tt/2ce2WG6","ift.tt/2ce2WG6","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","774075987134935040","null","False","0.0","7.7407598713493504E17","null","False","Fri Sep 09 02:44:31 +0000 2016","null","False","[環資訊息]驚世建築之外，鄉村需要的是有態度的經營 https://t.co/2R7JeWTepq","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/EqOUKcqT88","http://ift.tt/2bWxDN7","ift.tt/2bWxDN7","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","774068556329734144","null","False","0.0","7.7406855632973414E17","null","False","Fri Sep 09 02:14:59 +0000 2016","null","False","[環資訊息]空污有毒微粒入侵人腦 恐與阿茲海默症有關 https://t.co/EqOUKcqT88","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xZmMitqAwa","http://ift.tt/2bXRQqP","ift.tt/2bXRQqP","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","774068550151569408","null","False","0.0","7.7406855015156941E17","null","False","Fri Sep 09 02:14:58 +0000 2016","null","False","[環資訊息]韓國公司焚燒印尼雨林 3萬公頃棲地變棕櫚園 https://t.co/xZmMitqAwa","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/STzAf5BVLu","http://ift.tt/2csssHs","ift.tt/2csssHs","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","773934840865513472","null","False","0.0","7.7393484086551347E17","null","False","Thu Sep 08 17:23:39 +0000 2016","null","False","[環資訊息]22縣市環保施政期中考  宜蘭、北中南高表現較佳  https://t.co/STzAf5BVLu","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qs7F5LYKip","http://ift.tt/2c9YPcc","ift.tt/2c9YPcc","32.0","55.0","","","","","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","773908980208898048","null","False","0.0","7.7390898020889805E17","null","False","Thu Sep 08 15:40:54 +0000 2016","null","False","[環資訊息]迴避監測？ 竹南海上風機趁夜打樁  威脅瀕絕白海豚 https://t.co/qs7F5LYKip","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/exLTjS5jHR","http://ift.tt/2cFz07C","ift.tt/2cFz07C","21.0","44.0","","","","","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","773873541221679105","null","False","0.0","7.738735412216791E17","null","False","Thu Sep 08 13:20:04 +0000 2016","null","False","[綠色和平台灣]為何亞馬遜大火又再出現？ https://t.co/exLTjS5jHR","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XEUKbVa37B","http://ift.tt/2c0kKop","ift.tt/2c0kKop","20.0","43.0","","","","","","","","","","","","","","","","","","","0.0","43.0","0.0","null","null","773823726790017024","null","False","0.0","7.7382372679001702E17","null","False","Thu Sep 08 10:02:08 +0000 2016","null","False","[原促會訊息]【訪談】霧社事件耆老訪談 https://t.co/XEUKbVa37B","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4YwJEMcpYl","http://ift.tt/2c7wSTJ","ift.tt/2c7wSTJ","29.0","52.0","","","","","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","773818337780457476","null","False","0.0","7.7381833778045747E17","null","False","Thu Sep 08 09:40:43 +0000 2016","null","False","[台權會訊息][投書] 當人權鬥士成為迫遷推手（施逸翔） https://t.co/4YwJEMcpYl","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dvTuuBF4CJ","http://ift.tt/2crcXQ0","ift.tt/2crcXQ0","19.0","42.0","","","","","","","","","","","","","","","","","","","0.0","42.0","0.0","null","null","773815451998642177","null","False","0.0","7.7381545199864218E17","null","False","Thu Sep 08 09:29:15 +0000 2016","null","False","[環盟訊息]縣市政環保觀察報告記者會 https://t.co/dvTuuBF4CJ","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/hEDGvnMfBf","http://ift.tt/2cvmQei","ift.tt/2cvmQei","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","773811206578733060","null","False","0.0","7.7381120657873306E17","null","False","Thu Sep 08 09:12:23 +0000 2016","null","False","[蠻野心足訊息]核一廠除役計畫暨乾式貯存設施訪查活動發言單 https://t.co/hEDGvnMfBf","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/et2MCaJQF7","http://ift.tt/2cHHUTm","ift.tt/2cHHUTm","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","773777743024680960","null","False","0.0","7.7377774302468096E17","null","False","Thu Sep 08 06:59:24 +0000 2016","null","False","[環資訊息]污染不法利得追討難  台塑、日月光等大廠纏訟「抵抗」 https://t.co/et2MCaJQF7","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NcLpmfsEiJ","http://ift.tt/2cDriZ5","ift.tt/2cDriZ5","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","773760143976755200","null","False","0.0","7.737601439767552E17","null","False","Thu Sep 08 05:49:28 +0000 2016","null","False","綠盟2016募款音樂會，10/2 邀您一起讓公民力量前進！ https://t.co/NcLpmfsEiJ","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
