"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YKz4mHgtVR","http://bit.ly/2yegbDZ","bit.ly/2yegbDZ","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924879373471223808","null","False","0.0","9.2487937347122381E17","null","False","Mon Oct 30 06:03:20 +0000 2017","null","False","聯合勸募 just uploaded a video https://t.co/YKz4mHgtVR","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PMC1xjNUMZ","http://bit.ly/2lsTFkM","bit.ly/2lsTFkM","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924879370665283584","null","False","0.0","9.2487937066528358E17","null","False","Mon Oct 30 06:03:20 +0000 2017","null","False","聯合勸募 just uploaded a video https://t.co/PMC1xjNUMZ","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qP5PaS6n5B","http://bit.ly/2gUTBsw","bit.ly/2gUTBsw","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924876922869436416","null","False","0.0","9.2487692286943642E17","null","False","Mon Oct 30 05:53:36 +0000 2017","null","False","聯合勸募 just uploaded a video https://t.co/qP5PaS6n5B","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Ogp26qBAI8","http://bit.ly/2zQ4b82","bit.ly/2zQ4b82","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924875556105146369","null","False","0.0","9.2487555610514637E17","null","False","Mon Oct 30 05:48:10 +0000 2017","null","False","聯合勸募 just uploaded a video https://t.co/Ogp26qBAI8","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0TuH9C3KdP","http://bit.ly/2xxlV77","bit.ly/2xxlV77","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924856791745298433","null","False","0.0","9.2485679174529843E17","null","False","Mon Oct 30 04:33:36 +0000 2017","null","False","聯合勸募 just uploaded a video https://t.co/0TuH9C3KdP","ja","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jp5WxdSEno","http://bit.ly/2gKstZA","bit.ly/2gKstZA","22.0","45.0","","","","","","","","","","","","","","","0.0","45.0","0.0","null","null","924848952805089281","null","False","0.0","9.2484895280508928E17","null","False","Mon Oct 30 04:02:27 +0000 2017","null","False","[環資訊息]黃瘋蟻入侵  被忽視的陸蟹殺手 https://t.co/jp5WxdSEno","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iwmcNktRzw","http://bit.ly/2if09Pk","bit.ly/2if09Pk","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","924848949843976192","null","False","0.0","9.2484894984397619E17","null","False","Mon Oct 30 04:02:27 +0000 2017","null","False","[環資訊息] 【建築節能在台灣】既存建築也應改善  需要法規與制度創新 https://t.co/iwmcNktRzw","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/w2fyxlKKTI","http://bit.ly/2zgAiBk","bit.ly/2zgAiBk","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","924842618709774340","null","False","0.0","9.2484261870977434E17","null","False","Mon Oct 30 03:37:17 +0000 2017","null","False","[環資訊息]守護野生動物、棲地與河流  中國重量級綠色人物訪台交流 https://t.co/w2fyxlKKTI","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ozWgDHCD7d","http://bit.ly/2xy5o30","bit.ly/2xy5o30","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","924841713490898944","null","False","0.0","9.2484171349089894E17","null","False","Mon Oct 30 03:33:41 +0000 2017","null","False","婦女新知基金會 just uploaded a video https://t.co/ozWgDHCD7d","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xjzVM9p599","http://bit.ly/2zg7xVn","bit.ly/2zg7xVn","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","924837823546609664","null","False","0.0","9.2483782354660966E17","null","False","Mon Oct 30 03:18:14 +0000 2017","null","False","兒福聯盟 just uploaded a video https://t.co/xjzVM9p599","zh","","null","null","null","","","","","","","","","","","","","",""
