"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CaVPFb4t0T","http://ift.tt/2cJ5bRb","ift.tt/2cJ5bRb","31.0","54.0","0.0","54.0","0.0","null","null","777711549616185344","null","False","0.0","7.7771154961618534E17","null","False","Mon Sep 19 03:30:57 +0000 2016","null","False","公民監督國會聯盟 just uploaded a video https://t.co/CaVPFb4t0T","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9zW0vACTJA","http://ift.tt/2cB5Jgc","ift.tt/2cB5Jgc","30.0","53.0","0.0","53.0","0.0","null","null","777706588547256320","null","False","0.0","7.7770658854725632E17","null","False","Mon Sep 19 03:11:14 +0000 2016","null","False","[環資訊息]人類文明啟動第六次大滅絕 研究：將首度重創海洋 https://t.co/9zW0vACTJA","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/cqmGnCvbDT","http://ift.tt/2cRUs9e","ift.tt/2cRUs9e","34.0","57.0","0.0","57.0","0.0","null","null","777704148850671616","null","False","0.0","7.7770414885067162E17","null","False","Mon Sep 19 03:01:32 +0000 2016","null","False","[環資訊息]全台首例！ 盼為珊瑚礁改變農法  新社部落發起海洋監測 https://t.co/cqmGnCvbDT","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/aZO0Cn54ud","http://ift.tt/2cIVOB2","ift.tt/2cIVOB2","11.0","34.0","0.0","34.0","0.0","null","null","777687748845142016","null","False","0.0","7.7768774884514202E17","null","False","Mon Sep 19 01:56:22 +0000 2016","null","False","[環資訊息]易容小溪 https://t.co/aZO0Cn54ud","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/xUjUWMQ4dw","http://ift.tt/2cWqmCX","ift.tt/2cWqmCX","15.0","38.0","0.0","38.0","0.0","null","null","777687745888129024","null","False","0.0","7.7768774588812902E17","null","False","Mon Sep 19 01:56:22 +0000 2016","null","False","[環資訊息]百日新政的試金石 https://t.co/xUjUWMQ4dw","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/khJbqbn8om","http://ift.tt/2cWq2Ee","ift.tt/2cWq2Ee","26.0","49.0","0.0","49.0","0.0","null","null","777687030193123328","null","False","0.0","7.7768703019312333E17","null","False","Mon Sep 19 01:53:31 +0000 2016","null","False","[民主書院訊息]江蘇鹽城工業園區拆遷戶在拆遷辦墜亡 https://t.co/khJbqbn8om","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/61538jjyMd","http://ift.tt/2cRLN6E","ift.tt/2cRLN6E","29.0","52.0","0.0","52.0","0.0","null","null","777684485068513280","null","False","0.0","7.7768448506851328E17","null","False","Mon Sep 19 01:43:24 +0000 2016","null","False","[民主書院訊息]香港支聯會抗議烏坎鎮壓 促釋放村民過中秋 https://t.co/61538jjyMd","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/oHpo5tUS89","http://ift.tt/2d0HmUz","ift.tt/2d0HmUz","32.0","55.0","0.0","55.0","0.0","null","null","777684481562054656","null","False","0.0","7.7768448156205466E17","null","False","Mon Sep 19 01:43:23 +0000 2016","null","False","[民主書院訊息]達賴喇嘛籲華人提升覺悟 援藏者發表布魯塞爾聲明 https://t.co/oHpo5tUS89","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ujARxKg6pf","http://ift.tt/2cnxUfz","ift.tt/2cnxUfz","31.0","54.0","0.0","54.0","0.0","null","null","777619762021011456","null","False","0.0","7.7761976202101146E17","null","False","Sun Sep 18 21:26:13 +0000 2016","null","False","[環資訊息]從區域計畫到國土計畫：光影互見的國土治理體制變革 https://t.co/ujARxKg6pf","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Fkdg9OoSos","http://ift.tt/2cJaL4B","ift.tt/2cJaL4B","49.0","72.0","0.0","72.0","0.0","null","null","777398746699198464","null","False","0.0","7.7739874669919846E17","null","False","Sun Sep 18 06:47:59 +0000 2016","null","False","[同志熱線訊息]20161001(六)【光陰的故事】系列講座：風雲啟動1996──台灣同運史回顧 https://t.co/Fkdg9OoSos","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IYaHc7VnMS","http://ift.tt/2cPz8Bg","ift.tt/2cPz8Bg","56.0","79.0","0.0","79.0","0.0","null","null","777368350204780545","null","False","0.0","7.7736835020478054E17","null","False","Sun Sep 18 04:47:12 +0000 2016","null","False","[同志熱線訊息]20161014【南部】原來同志也可以申請收養小孩!?-「嗨！寶貝」收養紀錄片座談會(高雄場) https://t.co/IYaHc7VnMS","zh","","null","null","null"
