"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/eKffyh3U6J","http://ift.tt/2fj4m24","ift.tt/2fj4m24","33.0","56.0","0.0","56.0","0.0","null","null","795869390080278528","null","False","0.0","7.9586939008027853E17","null","False","Tue Nov 08 06:03:43 +0000 2016","null","False","[環資訊息]加重罰則、運用科技 環署向亞太15國分享水污執法經驗 https://t.co/eKffyh3U6J","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ryb5x518aa","http://ift.tt/2fW0Eza","ift.tt/2fW0Eza","32.0","55.0","0.0","55.0","0.0","null","null","795862506187137024","null","False","0.0","7.9586250618713702E17","null","False","Tue Nov 08 05:36:22 +0000 2016","null","False","[老盟訊息]105年度『獨居長輩圓夢清單』，邀請您一起來完成～ https://t.co/ryb5x518aa","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/nIv1q6h03Q","http://ift.tt/2ey6KQS","ift.tt/2ey6KQS","34.0","57.0","0.0","57.0","0.0","null","null","795832872733208580","null","False","0.0","7.9583287273320858E17","null","False","Tue Nov 08 03:38:37 +0000 2016","null","False","[環資訊息]【永續海鱻食堂】讓她生！母蟹安心開花 甘美萬里蟹年年嚐 https://t.co/nIv1q6h03Q","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KWpu1lV4LO","http://ift.tt/2fVS7fi","ift.tt/2fVS7fi","21.0","44.0","0.0","44.0","0.0","null","null","795831526806142977","null","False","0.0","7.9583152680614298E17","null","False","Tue Nov 08 03:33:16 +0000 2016","null","False","[親子共學訊息]媽媽在公共空間感受的壓力 https://t.co/KWpu1lV4LO","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DkZ78EpKvM","http://ift.tt/2eHbQxI","ift.tt/2eHbQxI","37.0","60.0","0.0","60.0","0.0","null","null","795829022517329924","null","False","0.0","7.9582902251732992E17","null","False","Tue Nov 08 03:23:19 +0000 2016","null","False","[環資訊息]《小康的願望 空汙大作戰》  推出推出PM2.5兒童衛教手冊 https://t.co/DkZ78EpKvM","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pYIVIk6uFl","http://ift.tt/2eHd8bL","ift.tt/2eHd8bL","30.0","53.0","0.0","53.0","0.0","null","null","795820370838360064","null","False","0.0","7.9582037083836006E17","null","False","Tue Nov 08 02:48:56 +0000 2016","null","False","[環資訊息]研究：大象盜獵不停止 非洲25國年損8億觀光財 https://t.co/pYIVIk6uFl","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9geEu6uWwZ","http://ift.tt/2ftVXcL","ift.tt/2ftVXcL","34.0","57.0","0.0","57.0","0.0","null","null","795809648892903424","null","False","0.0","7.9580964889290342E17","null","False","Tue Nov 08 02:06:20 +0000 2016","null","False","[民主書院訊息]溫州教會牧師張崇助被革聖職 曾反對強拆教堂及十字架 https://t.co/9geEu6uWwZ","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8m3ZpCpCfN","http://ift.tt/2eFpUYs","ift.tt/2eFpUYs","31.0","54.0","0.0","54.0","0.0","null","null","795647534681255936","null","False","0.0","7.9564753468125594E17","null","False","Mon Nov 07 15:22:09 +0000 2016","null","False","[高教工會訊息]失速的高教退場列車----從永達案看高教問題 https://t.co/8m3ZpCpCfN","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CB5NozQV2b","http://ift.tt/2fgAsvc","ift.tt/2fgAsvc","38.0","61.0","0.0","61.0","0.0","null","null","795606072815976455","null","False","0.0","7.9560607281597645E17","null","False","Mon Nov 07 12:37:24 +0000 2016","null","False","[同志熱線訊息]20161126（六）青少年同志雙聚會：溫羅汀悠遊彩虹仙境 https://t.co/CB5NozQV2b","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XePB6B1obQ","http://ift.tt/2f8SFgJ","ift.tt/2f8SFgJ","27.0","50.0","0.0","50.0","0.0","null","null","795550204661497856","null","False","0.0","7.9555020466149786E17","null","False","Mon Nov 07 08:55:24 +0000 2016","null","False","兒福聯盟 just uploaded a video https://t.co/XePB6B1obQ","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iKeLjV3Lp8","http://ift.tt/2fuHihX","ift.tt/2fuHihX","22.0","45.0","0.0","45.0","0.0","null","null","795529048676044800","null","False","0.0","7.955290486760448E17","null","False","Mon Nov 07 07:31:20 +0000 2016","null","False","[環盟訊息]以清水地熱發電、帶動三星温泉鄉 https://t.co/iKeLjV3Lp8","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iIsTwllRr8","http://ift.tt/2fumAyr","ift.tt/2fumAyr","31.0","54.0","0.0","54.0","0.0","null","null","795478487134064644","null","False","0.0","7.9547848713406464E17","null","False","Mon Nov 07 04:10:25 +0000 2016","null","False","公民監督國會聯盟 just uploaded a video https://t.co/iIsTwllRr8","zh","","null","null","null"
