"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/SfZwGxWU08","http://ift.tt/2x7BCSP","ift.tt/2x7BCSP","38.0","61.0","","","","","","","","","","","","","","","","","","","0.0","61.0","1.0","null","null","899824558013915144","null","False","0.0","8.9982455801391514E17","null","False","Tue Aug 22 02:44:27 +0000 2017","null","False","[環資訊息]【生態池物語】集保育與遊憩於一身  宛如莫內花園的奧萬大生態池 https://t.co/SfZwGxWU08","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","46.0","52.0","https://t.co/FIiZ2roVhW","http://ift.tt/2vTCagt","ift.tt/2vTCagt","22.0","45.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","899812724238147589","null","False","0.0","8.9981272423814758E17","null","False","Tue Aug 22 01:57:25 +0000 2017","null","False","[民主書院訊息]提名諾獎　王丹籲港議員聯署 https://t.co/FIiZ2roVhW #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","53.0","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","51.0","57.0","https://t.co/RsKL1GCGBB","http://ift.tt/2x7CCXc","ift.tt/2x7CCXc","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","899812720832368645","null","False","0.0","8.9981272083236864E17","null","False","Tue Aug 22 01:57:25 +0000 2017","null","False","[民主書院訊息]總統府：傷害台灣國家形象 將嚴懲暴徒 https://t.co/RsKL1GCGBB #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","58.0","63.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","46.0","52.0","https://t.co/6eMy9ZK40c","http://ift.tt/2vTy3kB","ift.tt/2vTy3kB","22.0","45.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","899812717317554176","null","False","0.0","8.9981271731755418E17","null","False","Tue Aug 22 01:57:24 +0000 2017","null","False","[民主書院訊息]山東訪民北京久敬莊外遭重傷 https://t.co/6eMy9ZK40c #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","53.0","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","51.0","57.0","https://t.co/FcGG6NXSJO","http://ift.tt/2x7KQyC","ift.tt/2x7KQyC","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","899812713014185988","null","False","0.0","8.9981271301418598E17","null","False","Tue Aug 22 01:57:23 +0000 2017","null","False","[民主書院訊息]江天勇案突將開庭 維權人士遭當局穩控 https://t.co/FcGG6NXSJO #China #中國人權","zh","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","58.0","63.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qP5goPPlhz","http://ift.tt/2v8Hj1r","ift.tt/2v8Hj1r","22.0","45.0","","","","","","","","","","","","","","","","","","","0.0","45.0","1.0","null","null","899798776944238593","null","False","0.0","8.9979877694423859E17","null","False","Tue Aug 22 01:02:00 +0000 2017","null","False","[親子共學訊息]你真的願意繼續這樣堅持嗎？ https://t.co/qP5goPPlhz","zh","null","null","null","","","","","","","","","","","","","","","","","",""
