"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MigrantWorker","51.0","65.0","","","","","","","https://t.co/CxhIqkfTxF","http://ift.tt/2vKNmxo","ift.tt/2vKNmxo","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","894888504290938880","null","False","0.0","8.9488850429093888E17","null","False","Tue Aug 08 11:50:20 +0000 2017","null","False","[One-Forty]啟程之前，仲介訓練所的實地觀察 https://t.co/CxhIqkfTxF #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MigrantWorker","66.0","80.0","","","","","","","https://t.co/7cENcFRQJC","http://ift.tt/2wDSK1G","ift.tt/2wDSK1G","42.0","65.0","","","","","","","","","","","","","","","","","","","0.0","80.0","0.0","null","null","894888499454914560","null","False","0.0","8.9488849945491456E17","null","False","Tue Aug 08 11:50:19 +0000 2017","null","False","[One-Forty]專訪回國移工 Aya：直覺告訴我要來台灣工作 現在的我很幸福 https://t.co/7cENcFRQJC #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MigrantWorker","69.0","83.0","","","","","","","https://t.co/2EVUqNhn2E","http://ift.tt/2vKQGs0","ift.tt/2vKQGs0","45.0","68.0","","","","","","","","","","","","","","","","","","","0.0","83.0","0.0","null","null","894888495855968256","null","False","0.0","8.9488849585596826E17","null","False","Tue Aug 08 11:50:18 +0000 2017","null","False","[One-Forty]專訪回國移工 Warti：為了在家鄉開間衣服店，我逃跑了，然後被抓 https://t.co/2EVUqNhn2E #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MigrantWorker","68.0","82.0","","","","","","","https://t.co/eH0Kqdiwq0","http://ift.tt/2wDTy6D","ift.tt/2wDTy6D","44.0","67.0","","","","","","","","","","","","","","","","","","","0.0","82.0","0.0","null","null","894888492093906944","null","False","0.0","8.9488849209390694E17","null","False","Tue Aug 08 11:50:17 +0000 2017","null","False","[One-Forty]專訪回國移工 Liena：卸下移工的身份，11年海外旅程後的生活 https://t.co/eH0Kqdiwq0 #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/BanLpSTHtK","http://ift.tt/2uBQrL9","ift.tt/2uBQrL9","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","894879758470852609","null","False","0.0","8.9487975847085261E17","null","False","Tue Aug 08 11:15:35 +0000 2017","null","False","[主婦聯盟訊息]秉持推動食農教育的初衷 校園食農教育種子培訓起跑 https://t.co/BanLpSTHtK","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/1KSlwEydBb","http://ift.tt/2vfnTKT","ift.tt/2vfnTKT","25.0","48.0","","","","","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","894865517852454915","null","False","0.0","8.9486551785245491E17","null","False","Tue Aug 08 10:18:59 +0000 2017","null","False","[蠻野心足訊息]【投書】核電復興不是台灣能源解方 https://t.co/1KSlwEydBb","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sg1yTWCNmF","http://ift.tt/2wp9muB","ift.tt/2wp9muB","38.0","61.0","","","","","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","894865515252002816","null","False","0.0","8.9486551525200282E17","null","False","Tue Aug 08 10:18:59 +0000 2017","null","False","[蠻野心足訊息]【聯合新聞稿】立即撤銷或廢止觀塘工業區、工業港歷次環評處分 https://t.co/sg1yTWCNmF","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zRxPtnuFZF","http://ift.tt/2ul4sBA","ift.tt/2ul4sBA","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","894841775457792000","null","False","0.0","8.94841775457792E17","null","False","Tue Aug 08 08:44:39 +0000 2017","null","False","[同志熱線訊息]2017熱線愛滋小組義工招募培訓工作坊開始報名! https://t.co/zRxPtnuFZF","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XEGxrGfx9W","http://ift.tt/2ukMmzu","ift.tt/2ukMmzu","27.0","50.0","","","","","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","894836850078228481","null","False","0.0","8.9483685007822848E17","null","False","Tue Aug 08 08:25:04 +0000 2017","null","False","[開拓基金會]華美衣袍上的蚤子：女人、衣服、過度消費 https://t.co/XEGxrGfx9W","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MigrantWorker","65.0","79.0","","","","","","","https://t.co/Xua6ZUM0hG","http://ift.tt/2woHF53","ift.tt/2woHF53","41.0","64.0","","","","","","","","","","","","","","","","","","","0.0","79.0","0.0","null","null","894798045250031616","null","False","0.0","8.9479804525003162E17","null","False","Tue Aug 08 05:50:53 +0000 2017","null","False","[One-Forty]專訪回國移工安娜：我想再次回台灣，不是做看護而是成為研究生 https://t.co/Xua6ZUM0hG #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
