"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/3Aq3sF6qPo","https://twngo.cf/2E5LV0J","twngo.cf/2E5LV0J","24.0","47.0","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","961052748010672128","null","False","0.0","9.6105274801067213E17","null","False","Wed Feb 07 01:43:25 +0000 2018","null","False","[華人民主書院]律師發函公安部門查詢高智晟下落 https://t.co/3Aq3sF6qPo","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XMHoxuhcgj","https://twngo.cf/2FTkpAa","twngo.cf/2FTkpAa","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","961051219136532481","null","False","1.0","9.6105121913653248E17","null","False","Wed Feb 07 01:37:20 +0000 2018","null","False","[白絲帶協會]【2018網路安全日 打造美好的網路世界從你我開始】 https://t.co/XMHoxuhcgj","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/jyg2N2JnpB","https://twngo.cf/2BZFiYh","twngo.cf/2BZFiYh","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","961050199715086337","null","False","0.0","9.6105019971508634E17","null","False","Wed Feb 07 01:33:17 +0000 2018","null","False","[華人民主書院]河南周口50所民辦學校遭關閉強拆 https://t.co/jyg2N2JnpB","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/KlFLFqJFXM","https://twngo.cf/2E68diX","twngo.cf/2E68diX","22.0","45.0","","","","","","","","","","","","","","","0.0","45.0","0.0","null","null","961050197508919296","null","False","0.0","9.610501975089193E17","null","False","Wed Feb 07 01:33:17 +0000 2018","null","False","[華人民主書院]台灣呂秀蓮有意競選台北市長 https://t.co/KlFLFqJFXM","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","Hapee","hapeeg","3.0","10.0","10378002","1.0378002E7","","","","","","","","","","","","","","","","","","","","0.0","140.0","0.0","null","null","961037593797210113","null","False","0.0","9.6103759379721011E17","null","","Wed Feb 07 00:43:12 +0000 2018","null","False","RT @hapeeg: 4 Digital Security Principles for 2018 to Protect Yourself from a Cybersecurity Nightmare by @praekeltorg on @ICT_Works https:/…","en","809491.0","","null","null","","","","","","","","","","","","","",""
"","","","","","","Praekelt.org","praekeltorg","105.0","117.0","220610706","2.20610706E8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","ICT_Works","ICT_Works","121.0","131.0","52845914","5.2845914E7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/gluJMeZY1D","https://twngo.cf/2E4DVND","twngo.cf/2E4DVND","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","960895480640176128","null","False","0.0","9.6089548064017613E17","null","False","Tue Feb 06 15:18:29 +0000 2018","null","False","[公民行動資料庫]殉職消防員家屬寒流中靜坐盼對話 鄭文燦遲未下樓答覆 https://t.co/gluJMeZY1D","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/55BuFvZuZL","https://twngo.cf/2EllsM3","twngo.cf/2EllsM3","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","960881593773682690","null","False","0.0","9.6088159377368269E17","null","False","Tue Feb 06 14:23:18 +0000 2018","null","False","[公民行動資料庫]【新聞稿】響應地球日百萬綠行動　台北新竹嘉義排前三 https://t.co/55BuFvZuZL","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6jBafATbJX","https://twngo.cf/2GQgrJM","twngo.cf/2GQgrJM","16.0","39.0","","","","","","","","","","","","","","","0.0","39.0","0.0","null","null","960828985738498048","null","False","0.0","9.6082898573849805E17","null","False","Tue Feb 06 10:54:16 +0000 2018","null","False","[綠色和平台灣]跟著青蛙去旅行 https://t.co/6jBafATbJX","zh","","null","null","null","","","","","","","","","","","","","",""
