"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DaNSDabmCI","https://twngo.cf/2HXjLU5","twngo.cf/2HXjLU5","20.0","43.0","","","","","","","","","","","","","","","0.0","43.0","0.0","null","null","969500880696471552","null","False","0.0","9.6950088069647155E17","null","False","Fri Mar 02 09:13:17 +0000 2018","null","False","[綠色和平台灣]你平均多久會購物一次？ https://t.co/DaNSDabmCI","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lFhoWhIyqP","https://twngo.cf/2F4EVBU","twngo.cf/2F4EVBU","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","969482591035371520","null","False","0.0","9.6948259103537152E17","null","False","Fri Mar 02 08:00:36 +0000 2018","null","False","[親子共學訊息]【2018年3/24~25中區親子共學家庭教育實踐班】簡章 https://t.co/lFhoWhIyqP","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/otG8qNcQjY","https://twngo.cf/2HYRdtc","twngo.cf/2HYRdtc","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","969478002814877696","null","False","0.0","9.694780028148777E17","null","False","Fri Mar 02 07:42:22 +0000 2018","null","False","[環資訊息]搶用農水爭議多年 六輕海淡廠有望三年內完工 https://t.co/otG8qNcQjY","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fB9SRf3xZ5","https://twngo.cf/2HYGoaW","twngo.cf/2HYGoaW","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","969462879148740609","null","False","0.0","9.6946287914874061E17","null","False","Fri Mar 02 06:42:16 +0000 2018","null","False","[永社]【會後新聞稿】0302「首次報告待努力，司改補帖增元氣」記者會 https://t.co/fB9SRf3xZ5","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/cYSrOJXXJF","https://twngo.cf/2FKeui4","twngo.cf/2FKeui4","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","969461838571327488","null","False","0.0","9.6946183857132749E17","null","False","Fri Mar 02 06:38:08 +0000 2018","null","False","[綠色和平台灣]綠色和平參與規劃，臺灣「海廢治理行動方案」公布 https://t.co/cYSrOJXXJF","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/V32c2aJe5j","https://twngo.cf/2HXEIyi","twngo.cf/2HXEIyi","15.0","38.0","","","","","","","","","","","","","","","0.0","38.0","0.0","null","null","969432995701673985","null","False","0.0","9.6943299570167398E17","null","False","Fri Mar 02 04:43:32 +0000 2018","null","False","[綠色和平台灣]樂觀的投石者 https://t.co/V32c2aJe5j","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pASjSWdbKb","https://twngo.cf/2HVAwyY","twngo.cf/2HVAwyY","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","969415089555230720","null","False","0.0","9.6941508955523072E17","null","False","Fri Mar 02 03:32:22 +0000 2018","null","False","[白絲帶協會]【幼兒過早使用觸控螢幕 恐影響語言、手寫能力】 https://t.co/pASjSWdbKb","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qriON2GIcS","https://twngo.cf/2FfWu16","twngo.cf/2FfWu16","45.0","68.0","","","","","","","","","","","","","","","0.0","68.0","0.0","null","null","969411782803673094","null","False","0.0","9.6941178280367309E17","null","False","Fri Mar 02 03:19:14 +0000 2018","null","False","[司改會訊息]「首次報告待努力，司改補帖增元氣」～民間監督落實司改國是會議決議聯盟記者會 https://t.co/qriON2GIcS","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/gSNqjezTNS","https://twngo.cf/2t95ccF","twngo.cf/2t95ccF","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","969411323170902019","null","False","0.0","9.6941132317090202E17","null","False","Fri Mar 02 03:17:24 +0000 2018","null","False","[環資訊息]日氣象主播開講  報氣象也報暖化   https://t.co/gSNqjezTNS","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qXSuLCgFBx","https://twngo.cf/2FhBGX9","twngo.cf/2FhBGX9","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","969404959233134592","null","False","0.0","9.6940495923313459E17","null","False","Fri Mar 02 02:52:07 +0000 2018","null","False","[環資訊息]聯合國專家：保護生態是提升環境韌性  惠益人類自身的不二法門 https://t.co/qXSuLCgFBx","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lto5lpIdZu","https://twngo.cf/2F4ivwB","twngo.cf/2F4ivwB","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","969402487575842817","null","False","0.0","9.6940248757584282E17","null","False","Fri Mar 02 02:42:18 +0000 2018","null","False","[環資訊息]連鎖超市創舉 全球第一個「無塑貨架」在荷蘭問世 https://t.co/lto5lpIdZu","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ykbEvKfYo4","https://twngo.cf/2CTnHkZ","twngo.cf/2CTnHkZ","45.0","68.0","","","","","","","","","","","","","","","0.0","68.0","0.0","null","null","969400013397905413","null","False","0.0","9.6940001339790541E17","null","False","Fri Mar 02 02:32:28 +0000 2018","null","False","[環資訊息]林吉洋：改造河流是無可挽回的環境災難  從「韓國四大江」看「前瞻水環境計畫」 https://t.co/ykbEvKfYo4","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DltlnwDhf4","https://twngo.cf/2tfsgXx","twngo.cf/2tfsgXx","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","969395352335011842","null","False","0.0","9.6939535233501184E17","null","False","Fri Mar 02 02:13:57 +0000 2018","null","False","[華人民主書院]禁談任期限制 網管封殺“敏感詞” https://t.co/DltlnwDhf4","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/octVkNyCNS","https://twngo.cf/2FIBlKH","twngo.cf/2FIBlKH","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","969395349466025984","null","False","0.0","9.6939534946602598E17","null","False","Fri Mar 02 02:13:56 +0000 2018","null","False","[華人民主書院]人民日報：取消任期限制並不意味終身制 https://t.co/octVkNyCNS","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/c4FNdLf2bh","https://twngo.cf/2tbtlzc","twngo.cf/2tbtlzc","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","969395347318607872","null","False","0.0","9.6939534731860787E17","null","False","Fri Mar 02 02:13:55 +0000 2018","null","False","[華人民主書院]美參院通過《台灣旅行法》 台海兩岸反應不一 https://t.co/c4FNdLf2bh","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/TmbzQ1LkC3","https://twngo.cf/2FJKH9e","twngo.cf/2FJKH9e","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","969395344042876931","null","False","0.0","9.6939534404287693E17","null","False","Fri Mar 02 02:13:55 +0000 2018","null","False","[華人民主書院]中共31項惠台措施 陸委會：將持續觀察是否為「口惠」 https://t.co/TmbzQ1LkC3","zh","","null","null","null","","","","","","","","","","","","","",""
