"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/cLdS6MPJ55","https://twngo.cf/2mM6ZyM","twngo.cf/2mM6ZyM","39.0","62.0","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","953460722100563968","null","False","0.0","9.5346072210056397E17","null","False","Wed Jan 17 02:55:25 +0000 2018","null","False","[司改會訊息]包庇還能當主席，法官評鑑一場空～林洲富法官應立即辭任評鑑委員！ https://t.co/cLdS6MPJ55","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2EMDEG5Fo1","https://twngo.cf/2DiAK4B","twngo.cf/2DiAK4B","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","953457666805944320","null","False","0.0","9.5345766680594432E17","null","False","Wed Jan 17 02:43:16 +0000 2018","null","False","[環資訊息]氣候變遷鹹水入侵 湄公河三角洲爆農民出走潮 https://t.co/2EMDEG5Fo1","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/1z2gppUsjg","https://twngo.cf/2mM3nNe","twngo.cf/2mM3nNe","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","953454525632991233","null","False","0.0","9.5345452563299123E17","null","False","Wed Jan 17 02:30:47 +0000 2018","null","False","[白絲帶協會]【直播答題APP掀熱潮 「外掛」念題目給答案】 https://t.co/1z2gppUsjg","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9iyQpmZFHH","https://twngo.cf/2rdrJUG","twngo.cf/2rdrJUG","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","953454523250552837","null","False","0.0","9.5345452325055283E17","null","False","Wed Jan 17 02:30:47 +0000 2018","null","False","[白絲帶協會]【癌逝烏克麗麗大師遭冒名 網售低價吉他】 https://t.co/9iyQpmZFHH","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XbyASEarB5","https://twngo.cf/2rhOeYE","twngo.cf/2rhOeYE","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","953446349290246145","null","False","0.0","9.5344634929024614E17","null","False","Wed Jan 17 01:58:18 +0000 2018","null","False","[華人民主書院]山東萊州村主任選舉 前民選村長被拘無法參選 https://t.co/XbyASEarB5","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ZdDOaic3cB","https://twngo.cf/2mLBcOt","twngo.cf/2mLBcOt","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","953446345553137664","null","False","0.0","9.5344634555313766E17","null","False","Wed Jan 17 01:58:17 +0000 2018","null","False","[華人民主書院]陸節目把台港並列國家遭檢舉 台學者：文化戰爭 https://t.co/ZdDOaic3cB","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/S8GvrDzzSI","https://twngo.cf/2raoL3e","twngo.cf/2raoL3e","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","953446342029914112","null","False","0.0","9.5344634202991411E17","null","False","Wed Jan 17 01:58:16 +0000 2018","null","False","[華人民主書院]淡化文革改名「艱辛探索的十年」？外媒：因習缺安全感 https://t.co/S8GvrDzzSI","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UoWXo7xZGX","https://twngo.cf/2mLf7jc","twngo.cf/2mLf7jc","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","953446339626532864","null","False","0.0","9.5344633962653286E17","null","False","Wed Jan 17 01:58:16 +0000 2018","null","False","[華人民主書院]外交部證實 台協助中國大陸異議人士赴美 https://t.co/UoWXo7xZGX","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/EqRvT14MgN","https://twngo.cf/2Dcsj6R","twngo.cf/2Dcsj6R","42.0","65.0","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","953271391930978304","null","False","0.0","9.532713919309783E17","null","False","Tue Jan 16 14:23:05 +0000 2018","null","False","[公民行動資料庫]空汙緊急防治計畫實際施行 環團：防制中心過早解除  改善力道不足 https://t.co/EqRvT14MgN","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/f8j4pH96Qc","https://twngo.cf/2rcydTW","twngo.cf/2rcydTW","13.0","36.0","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","953235822161154048","null","False","0.0","9.5323582216115405E17","null","False","Tue Jan 16 12:01:44 +0000 2018","null","False","[親子共學訊息]姊弟打架 https://t.co/f8j4pH96Qc","zh","","null","null","null","","","","","","","","","","","","","",""
