"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","NGO news from Taiwan","NGOnewsTW","24.0","34.0","770241326172418048","7.7024132617241805E17","","","","https://t.co/ArKVHX1YpO","http://mo.nu/r/NGOnewsTW/4408/3?uid=4Fcq","mo.nu/r/NGOnewsTW/44…","75.0","98.0","0.0","123.0","0.0","null","null","873251666241273856","null","False","0.0","8.7325166624127386E17","null","False","Fri Jun 09 18:53:16 +0000 2017","null","False","Donate a tweet a day to @NGOnewsTW. Spread the word and make a difference. https://t.co/ArKVHX1YpO ☞https://t.co/2CohkiBcXo","en","","null","null","null"
"","","","","","","","","","","","","https://t.co/2CohkiBcXo","http://justcoz.org","justcoz.org","100.0","123.0","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/oB8s82eLNo","http://to.twngo.xyz/2reb5iv","to.twngo.xyz/2reb5iv","49.0","72.0","0.0","72.0","0.0","null","null","873224955068076032","null","False","0.0","8.7322495506807603E17","null","False","Fri Jun 09 17:07:07 +0000 2017","null","False","[同志熱線訊息]2017/6/24（六）晃遊性╱別系列座談：喜歡可以試穿看看——跨性別衣著與實作 https://t.co/oB8s82eLNo","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6fw176HJMX","http://to.twngo.xyz/2saHXOd","to.twngo.xyz/2saHXOd","34.0","57.0","0.0","57.0","0.0","null","null","873139318864441347","null","False","0.0","8.7313931886444134E17","null","False","Fri Jun 09 11:26:50 +0000 2017","null","False","[環資訊息]環評子法公聽 不滿都市土地免環評 環團、北市府砲火四射 https://t.co/6fw176HJMX","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Yt2IFtlnvR","http://to.twngo.xyz/2sKlNiI","to.twngo.xyz/2sKlNiI","22.0","45.0","0.0","45.0","0.0","null","null","873137595441610753","null","False","0.0","8.7313759544161075E17","null","False","Fri Jun 09 11:19:59 +0000 2017","null","False","[平冤訊息]《平冤週報》  6/3~6/9 https://t.co/Yt2IFtlnvR","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/FQLfLuJWtG","http://to.twngo.xyz/2r8FeEG","to.twngo.xyz/2r8FeEG","33.0","56.0","0.0","56.0","0.0","null","null","873109016821473282","null","False","1.0","8.7310901682147328E17","null","False","Fri Jun 09 09:26:25 +0000 2017","null","False","[環資訊息]防災資訊「放網路」不等於「民眾知情」 立委擬修法改善 https://t.co/FQLfLuJWtG","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/G3RAiQXcsQ","http://to.twngo.xyz/2s3dDnP","to.twngo.xyz/2s3dDnP","34.0","57.0","0.0","57.0","0.0","null","null","873104071464333314","null","False","0.0","8.7310407146433331E17","null","False","Fri Jun 09 09:06:46 +0000 2017","null","False","[環資訊息]【秘讀自然】山，未曾離遠的召喚——《我願成為山的侍者》 https://t.co/G3RAiQXcsQ","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/zKzbTYIDJ8","http://to.twngo.xyz/2t1kviR","to.twngo.xyz/2t1kviR","16.0","39.0","0.0","39.0","0.0","null","null","873104068444471297","null","False","0.0","8.731040684444713E17","null","False","Fri Jun 09 09:06:46 +0000 2017","null","False","[環資訊息]孩子們，爬樹去囉！ https://t.co/zKzbTYIDJ8","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/im6SFBDlYd","http://to.twngo.xyz/2skUK0a","to.twngo.xyz/2skUK0a","38.0","61.0","0.0","61.0","0.0","null","null","873101534355013632","null","False","0.0","8.7310153435501363E17","null","False","Fri Jun 09 08:56:41 +0000 2017","null","False","[環資訊息]環評子法公聽 總量難確認 「低能耗低污染」增產免環差 糾結半日 https://t.co/im6SFBDlYd","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/TwZkC4k4xI","http://to.twngo.xyz/2r829jG","to.twngo.xyz/2r829jG","34.0","57.0","0.0","57.0","0.0","null","null","873070264040407040","null","False","0.0","8.7307026404040704E17","null","False","Fri Jun 09 06:52:26 +0000 2017","null","False","[媒觀訊息]2017提升台灣兒少節目品質工作坊暨高峰論壇 報名開始 https://t.co/TwZkC4k4xI","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6F96hh9Soy","http://to.twngo.xyz/2rS4KeH","to.twngo.xyz/2rS4KeH","60.0","83.0","0.0","83.0","0.0","null","null","873064233017122816","null","False","0.0","8.7306423301712282E17","null","False","Fri Jun 09 06:28:28 +0000 2017","null","False","[蠻野心足訊息][新聞稿]跨域引水工程應審慎評估 - 大安甲溪水源聯合運用輸工程 環保署應積極推動重大環評案件聽證程序 https://t.co/6F96hh9Soy","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Q5XJbls14F","http://to.twngo.xyz/2sktajE","to.twngo.xyz/2sktajE","35.0","58.0","0.0","58.0","0.0","null","null","873034286319845376","null","False","0.0","8.7303428631984538E17","null","False","Fri Jun 09 04:29:28 +0000 2017","null","False","[司改會訊息]點評：「總統府司法改革國是會議」第五分組第三次增開會議 https://t.co/Q5XJbls14F","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Oo5EorkkEd","http://to.twngo.xyz/2s9VCFa","to.twngo.xyz/2s9VCFa","23.0","46.0","0.0","46.0","0.0","null","null","873027448870326274","null","False","0.0","8.7302744887032627E17","null","False","Fri Jun 09 04:02:18 +0000 2017","null","False","[高教工會訊息]全國大專院校學生居住情形調查 https://t.co/Oo5EorkkEd","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/a80hNhEkoO","http://to.twngo.xyz/2sJc8ZV","to.twngo.xyz/2sJc8ZV","58.0","81.0","0.0","81.0","0.0","null","null","873027445376471042","null","False","0.0","8.7302744537647104E17","null","False","Fri Jun 09 04:02:17 +0000 2017","null","False","[高教工會訊息]繳了高學費，還要高房租？  半數大學生被迫校外租屋，教育部坐視不管？  青年要求立即興建平價宿舍！ https://t.co/a80hNhEkoO","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/orQXvAes5t","http://to.twngo.xyz/2rRLQVh","to.twngo.xyz/2rRLQVh","14.0","37.0","0.0","37.0","0.0","null","null","873025983921528832","null","False","0.0","8.7302598392152883E17","null","False","Fri Jun 09 03:56:29 +0000 2017","null","False","[永社]三億元與特赦陳水扁 https://t.co/orQXvAes5t","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IGpuMXRMLb","http://to.twngo.xyz/2rHtW9j","to.twngo.xyz/2rHtW9j","31.0","54.0","0.0","54.0","0.0","null","null","873015600213360640","null","False","0.0","8.7301560021336064E17","null","False","Fri Jun 09 03:15:13 +0000 2017","null","False","公民監督國會聯盟 just uploaded a video https://t.co/IGpuMXRMLb","zh","","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/1QRhdNbnEk","http://to.twngo.xyz/2rS0HyV","to.twngo.xyz/2rS0HyV","25.0","48.0","0.0","48.0","0.0","null","null","873010598530908160","null","False","0.0","8.7301059853090816E17","null","False","Fri Jun 09 02:55:21 +0000 2017","null","False","[主婦聯盟訊息]【廚房食事】系列課程 熱情招生中 https://t.co/1QRhdNbnEk","zh","","null","null","null"
