"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/bCYusKP7bl","https://twngo.cf/2zV7KNk","twngo.cf/2zV7KNk","17.0","40.0","","","","","","","","","","","","","","","0.0","40.0","0.0","null","null","932944067931136001","null","False","0.0","9.32944067931136E17","null","False","Tue Nov 21 12:09:33 +0000 2017","null","False","[親子共學訊息]三歲的社會化之初 https://t.co/bCYusKP7bl","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","","","","","https://t.co/s4hjQfCJen","https://to.twngo.xyz/2iAut87","to.twngo.xyz/2iAut87","54.0","77.0","","","","","","","","","","","","","","","0.0","77.0","0.0","null","null","932932746938269696","null","False","1.0","9.329327469382697E17","null","False","Tue Nov 21 11:24:34 +0000 2017","null","False","[TWNGO推進器] 陸續介紹了許多數位網路工具後，本週的專文則希望能靜一下來，重新思考「組織工作」的重要　https://t.co/s4hjQfCJen","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/HQzl3PErEN","https://twngo.cf/2zopGRz","twngo.cf/2zopGRz","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","932928917048057856","null","False","0.0","9.3292891704805786E17","null","False","Tue Nov 21 11:09:21 +0000 2017","null","False","[永社]【會後新聞稿】411路過中正一案判決執行 暨 發起募款行動記者會  https://t.co/HQzl3PErEN","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YhZRwaqu2W","https://twngo.cf/2zTFdbo","twngo.cf/2zTFdbo","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","932900012845092864","null","False","0.0","9.3290001284509286E17","null","False","Tue Nov 21 09:14:30 +0000 2017","null","False","[永社]【新聞稿】司法院的傲慢與偏見--秘密籌劃參審制的國民法官法草案 https://t.co/YhZRwaqu2W","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XJooGVoNCo","https://twngo.cf/2jenGjE","twngo.cf/2jenGjE","13.0","36.0","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","932898255570128897","null","False","0.0","9.328982555701289E17","null","False","Tue Nov 21 09:07:31 +0000 2017","null","False","[荒野訊息]霧峰乾溪踏查 https://t.co/XJooGVoNCo","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lO0lo3i7Y1","https://twngo.cf/2zn8N9Y","twngo.cf/2zn8N9Y","39.0","62.0","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","932888089944576000","null","False","0.0","9.32888089944576E17","null","False","Tue Nov 21 08:27:07 +0000 2017","null","False","[公民行動資料庫]數十行業勞工出面控訴過勞現況 痛批「勞基法將成企業彈性法」 https://t.co/lO0lo3i7Y1","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OXMO45zOiM","https://twngo.cf/2jH5TWj","twngo.cf/2jH5TWj","44.0","67.0","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","932887528767705088","null","False","0.0","9.3288752876770509E17","null","False","Tue Nov 21 08:24:53 +0000 2017","null","False","[經民連訊息]「勞資會議」同意，國王的新衣，還是全民偽造文書(經民連談勞基法修正之3) https://t.co/OXMO45zOiM","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dcIB97nFCL","https://twngo.cf/2hQKb1F","twngo.cf/2hQKb1F","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","932887527136153600","null","False","0.0","9.328875271361536E17","null","False","Tue Nov 21 08:24:53 +0000 2017","null","False","[經民連訊息]11减3，我們失去的是做人的尊嚴(經民連談勞基法修正之2) https://t.co/dcIB97nFCL","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/8xYlHENjSp","https://twngo.cf/2jKvA8D","twngo.cf/2jKvA8D","39.0","62.0","","","","","","","","","","","","","","","0.0","62.0","0.0","null","null","932887524883746816","null","False","0.0","9.3288752488374682E17","null","False","Tue Nov 21 08:24:52 +0000 2017","null","False","[經民連訊息]計程車70元起跳，假日加班應幾小時起跳？(經民連談勞基法修正) https://t.co/8xYlHENjSp","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/4e3QTFwr5w","https://twngo.cf/2jcd8BN","twngo.cf/2jcd8BN","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","932876791034929162","null","False","0.0","9.3287679103492915E17","null","False","Tue Nov 21 07:42:13 +0000 2017","null","False","[公民行動資料庫]又傳「假學習真勞動」 政大開假課程聘雇教學助理 https://t.co/4e3QTFwr5w","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","MigrantWorker","59.0","73.0","https://t.co/MBvvWQ7GCC","https://twngo.cf/2je8jHY","twngo.cf/2je8jHY","35.0","58.0","","","","","","","","","","","","","","","0.0","73.0","0.0","null","null","932863174491234304","null","False","0.0","9.328631744912343E17","null","False","Tue Nov 21 06:48:07 +0000 2017","null","False","[One-Forty]One-Forty － 那個我們稱之為家的地方 https://t.co/MBvvWQ7GCC #MigrantWorker","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ldXHsE1rrc","https://twngo.cf/2hHbNSY","twngo.cf/2hHbNSY","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","932862737650241537","null","False","0.0","9.3286273765024154E17","null","False","Tue Nov 21 06:46:23 +0000 2017","null","False","[台權會訊息]【招募】行銷募款專員、南部辦公室專員 https://t.co/ldXHsE1rrc","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/q5I5oq1BMS","https://twngo.cf/2hPFaq0","twngo.cf/2hPFaq0","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","932857934517886976","null","False","0.0","9.3285793451788698E17","null","False","Tue Nov 21 06:27:17 +0000 2017","null","False","[環資訊息]要直要彎惹爭議 新竹公道三將展開聽證 https://t.co/q5I5oq1BMS","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","LGBTIQTaiwan","54.0","67.0","https://t.co/wp9hsuToSo","https://twngo.cf/2zYiUik","twngo.cf/2zYiUik","30.0","53.0","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","932835882494758912","null","False","0.0","9.3283588249475891E17","null","False","Tue Nov 21 04:59:40 +0000 2017","null","False","[同志熱線訊息]20171209【南部】嬡拉蕾-嬡保險講座 https://t.co/wp9hsuToSo #LGBTIQTaiwan","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LdkteOAzr1","https://twngo.cf/2zWJnPd","twngo.cf/2zWJnPd","24.0","47.0","","","","","","","","","","","","","","","0.0","47.0","0.0","null","null","932816387483021314","null","False","0.0","9.3281638748302131E17","null","False","Tue Nov 21 03:42:12 +0000 2017","null","False","[華人民主書院]達賴喇嘛：只要中方同意就回西藏 https://t.co/LdkteOAzr1","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/gsDRyJmzCH","https://twngo.cf/2hGWzgM","twngo.cf/2hGWzgM","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","932816384823906304","null","False","0.0","9.328163848239063E17","null","False","Tue Nov 21 03:42:11 +0000 2017","null","False","[華人民主書院]澳門民主派議員蘇嘉豪去留交立法會投票決定 https://t.co/gsDRyJmzCH","zh","","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OMiSMOrcSn","https://twngo.cf/2B7QWB7","twngo.cf/2B7QWB7","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","1.0","null","null","932815160254849024","null","False","0.0","9.3281516025484902E17","null","False","Tue Nov 21 03:37:19 +0000 2017","null","False","[環資訊息]日本經驗：以全球重要農業遺產系統（GIAHS）保護里山里海 https://t.co/OMiSMOrcSn","zh","","null","null","null","","","","","","","","","","","","","",""
