"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tGtnzCRA9F","http://ift.tt/2ov4HqS","ift.tt/2ov4HqS","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","857163648816566272","null","False","0.0","8.5716364881656627E17","null","False","Wed Apr 26 09:25:13 +0000 2017","null","False","[台權會訊息][投書] 蔡政府漂浮在空中的人權地板（施逸翔） https://t.co/tGtnzCRA9F","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/CQHCcrC7E9","http://ift.tt/2oIMBNc","ift.tt/2oIMBNc","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","857161468701233154","null","False","0.0","8.5716146870123315E17","null","False","Wed Apr 26 09:16:34 +0000 2017","null","False","[環資訊息]國民黨翻桌、潑水  民進黨「十分鐘」8800億前瞻條例通過初審 https://t.co/CQHCcrC7E9","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UOze5ebaVO","http://ift.tt/2pkf4Np","ift.tt/2pkf4Np","35.0","58.0","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","857152072713633792","null","False","0.0","8.5715207271363379E17","null","False","Wed Apr 26 08:39:13 +0000 2017","null","False","[主婦聯盟訊息]【2017全球反孟山都行動台灣】520邀您一起上街頭 https://t.co/UOze5ebaVO","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6xCOV91A5P","http://ift.tt/2qdfjHl","ift.tt/2qdfjHl","14.0","37.0","","","","","","","","","","","","","","","0.0","37.0","0.0","null","null","857144766861107200","null","False","0.0","8.571447668611072E17","null","False","Wed Apr 26 08:10:12 +0000 2017","null","False","[環盟訊息]補正公投法聲明 https://t.co/6xCOV91A5P","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qgapKL0hJz","http://ift.tt/2p3n7gN","ift.tt/2p3n7gN","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","857144765061705729","null","False","0.0","8.5714476506170573E17","null","False","Wed Apr 26 08:10:11 +0000 2017","null","False","[環盟訊息]總統家的想想與阿財 將與團體互動示範動保 https://t.co/qgapKL0hJz","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mwkM7bxwbO","http://ift.tt/2qdbqBZ","ift.tt/2qdbqBZ","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","857144762649980929","null","False","0.0","8.5714476264998093E17","null","False","Wed Apr 26 08:10:11 +0000 2017","null","False","[環盟訊息]地球日前夕見小英 環團：總統推動非核家園堅定 https://t.co/mwkM7bxwbO","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wA9lyH256n","http://ift.tt/2ouNlKy","ift.tt/2ouNlKy","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","857132710292336640","null","False","0.0","8.5713271029233664E17","null","False","Wed Apr 26 07:22:17 +0000 2017","null","False","[慈林基金會]2017年慈林各項學生參訪服務辦法 https://t.co/wA9lyH256n","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dOX0U4TOzN","http://ift.tt/2q3Qy0C","ift.tt/2q3Qy0C","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","857126779760369669","null","False","0.0","8.5712677976036966E17","null","False","Wed Apr 26 06:58:43 +0000 2017","null","False","[環資訊息]最新台灣鳥類名錄釋出，列入新紀錄22種鳥類 https://t.co/dOX0U4TOzN","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6GGGkM7Fmx","http://ift.tt/2pk5k5G","ift.tt/2pk5k5G","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","857126644066258945","null","False","0.0","8.5712664406625894E17","null","False","Wed Apr 26 06:58:11 +0000 2017","null","False","[司改會訊息]小點評：「總統府司法改革國是會議」第二分組第五次會議 https://t.co/6GGGkM7Fmx","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/d0HUBLnHa1","http://ift.tt/2q5DOJK","ift.tt/2q5DOJK","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","857117165102804993","null","False","0.0","8.5711716510280499E17","null","False","Wed Apr 26 06:20:31 +0000 2017","null","False","[綠色和平台灣]【蔬食料理】從每一口食物，替地球減少負荷 https://t.co/d0HUBLnHa1","zh","null","null","null","","","","","","","","","","","","","",""
