"coordinates","retweeted","source","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/OTPFIrMF6Y","http://ift.tt/2mkyIqk","ift.tt/2mkyIqk","30.0","53.0","0.0","53.0","0.0","null","null","839392830481104896","null","False","0.0","8.393928304811049E17","null","False","Wed Mar 08 08:30:20 +0000 2017","null","False","法律扶助基金會 just uploaded a video https://t.co/OTPFIrMF6Y","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/sl3uc7GI5Y","http://ift.tt/2nddSXL","ift.tt/2nddSXL","30.0","53.0","0.0","53.0","0.0","null","null","839392827482247168","null","False","0.0","8.3939282748224717E17","null","False","Wed Mar 08 08:30:19 +0000 2017","null","False","法律扶助基金會 just uploaded a video https://t.co/sl3uc7GI5Y","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/qibC5z0VpL","http://ift.tt/2mWlQIz","ift.tt/2mWlQIz","45.0","68.0","0.0","68.0","0.0","null","null","839372155670384640","null","False","0.0","8.3937215567038464E17","null","False","Wed Mar 08 07:08:11 +0000 2017","null","False","[親子共學訊息]20170325台北共學團聯合座談─公司可以民主嗎？從工會試行翻轉職場！ https://t.co/qibC5z0VpL","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/aKNbzmahK2","http://ift.tt/2mzQkiH","ift.tt/2mzQkiH","41.0","64.0","0.0","64.0","0.0","null","null","839366464230600705","null","False","0.0","8.393664642306007E17","null","False","Wed Mar 08 06:45:34 +0000 2017","null","False","[台灣露德協會]2017年反轉錄病毒和伺機性感染年度大會(CROI)系列報導之1 https://t.co/aKNbzmahK2","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/R4RNdymax3","http://ift.tt/2mkrWAZ","ift.tt/2mkrWAZ","27.0","50.0","0.0","50.0","0.0","null","null","839361574594883584","null","False","0.0","8.3936157459488358E17","null","False","Wed Mar 08 06:26:08 +0000 2017","null","False","[白絲帶協會]避免惡意程式入侵電腦 網上軟體謹慎下載 https://t.co/R4RNdymax3","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/hnVc4VIinJ","http://ift.tt/2ncDLqK","ift.tt/2ncDLqK","26.0","49.0","0.0","49.0","0.0","null","null","839361572858433536","null","False","0.0","8.3936157285843354E17","null","False","Wed Mar 08 06:26:08 +0000 2017","null","False","[白絲帶協會]先思考再開口 答題機制創造留言好習慣 https://t.co/hnVc4VIinJ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/PDrNA3pVqL","http://ift.tt/2mklaeF","ift.tt/2mklaeF","26.0","49.0","0.0","49.0","0.0","null","null","839361570664742913","null","False","0.0","8.3936157066474291E17","null","False","Wed Mar 08 06:26:07 +0000 2017","null","False","[白絲帶協會]有圖仍要釐清真相 避免誤將霸凌當正義 https://t.co/PDrNA3pVqL","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/nXdLFL4Gux","http://ift.tt/2lWq4er","ift.tt/2lWq4er","34.0","57.0","0.0","57.0","0.0","null","null","839360684970422272","null","False","0.0","8.3936068497042227E17","null","False","Wed Mar 08 06:22:36 +0000 2017","null","False","[司改會訊息]小筆記：「總統府司法改革國是會議」第二分組第二次會議 https://t.co/nXdLFL4Gux","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/wcxRDRjbnn","http://ift.tt/2mkrjHB","ift.tt/2mkrjHB","28.0","51.0","0.0","51.0","0.0","null","null","839358476954533889","null","False","0.0","8.3935847695453389E17","null","False","Wed Mar 08 06:13:50 +0000 2017","null","False","[環資訊息]「訴願會快開門！」 環團再要求旁聽台化案  https://t.co/wcxRDRjbnn","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/oLLlzw4HRx","http://ift.tt/2mWhFwF","ift.tt/2mWhFwF","35.0","58.0","0.0","58.0","0.0","null","null","839353316278677504","null","False","0.0","8.393533162786775E17","null","False","Wed Mar 08 05:53:19 +0000 2017","null","False","[台語文基金會]民視【國會最前線】20170308討論國家語言發展法 https://t.co/oLLlzw4HRx","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/vSfZYSSbgq","http://ift.tt/2m0H7wB","ift.tt/2m0H7wB","32.0","55.0","0.0","55.0","0.0","null","null","839333244231430145","null","False","0.0","8.3933324423143014E17","null","False","Wed Mar 08 04:33:34 +0000 2017","null","False","[環資訊息]林岱樺修法支持「個人隨機放生」惹議  萬人連署反對 https://t.co/vSfZYSSbgq","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/uYQNc9wADB","http://ift.tt/2lW2iPD","ift.tt/2lW2iPD","46.0","69.0","0.0","69.0","0.0","null","null","839330106875203585","null","False","0.0","8.3933010687520358E17","null","False","Wed Mar 08 04:21:06 +0000 2017","null","False","[台權會訊息]【無罪聲明】針對Hydis工人案台灣聲援者抗議移民署遭訴  二審無罪聯合聲明 https://t.co/uYQNc9wADB","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/rhgv5n2vRN","http://ift.tt/2ncm1LS","ift.tt/2ncm1LS","35.0","58.0","0.0","58.0","0.0","null","null","839327855888723969","null","False","0.0","8.3932785588872397E17","null","False","Wed Mar 08 04:12:09 +0000 2017","null","False","[人約盟訊息]人權有理，橫行無礙｜2017春季CRPD系列培力讀書會 https://t.co/rhgv5n2vRN","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/OWAqNHIPgl","http://ift.tt/2mVqcjg","ift.tt/2mVqcjg","50.0","73.0","0.0","73.0","0.0","null","null","839308461636747264","null","False","0.0","8.3930846163674726E17","null","False","Wed Mar 08 02:55:05 +0000 2017","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/OWAqNHIPgl","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/Cw4OSZl8jZ","http://ift.tt/2ncuG0V","ift.tt/2ncuG0V","50.0","73.0","0.0","73.0","0.0","null","null","839308460202295296","null","False","0.0","8.393084602022953E17","null","False","Wed Mar 08 02:55:05 +0000 2017","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/Cw4OSZl8jZ","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/9t4eJ1zae8","http://ift.tt/2mVJyVD","ift.tt/2mVJyVD","50.0","73.0","0.0","73.0","0.0","null","null","839308458402930689","null","False","0.0","8.3930845840293069E17","null","False","Wed Mar 08 02:55:04 +0000 2017","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/9t4eJ1zae8","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/avdsM8PtgH","http://ift.tt/2ncoBl3","ift.tt/2ncoBl3","50.0","73.0","0.0","73.0","0.0","null","null","839308456821653504","null","False","0.0","8.393084568216535E17","null","False","Wed Mar 08 02:55:04 +0000 2017","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/avdsM8PtgH","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/iepyyp1h9l","http://ift.tt/2mVCiZy","ift.tt/2mVCiZy","50.0","73.0","0.0","73.0","0.0","null","null","839308454313476096","null","False","0.0","8.393084543134761E17","null","False","Wed Mar 08 02:55:03 +0000 2017","null","False","台灣世界展望會 World Vision Taiwan just uploaded a video https://t.co/iepyyp1h9l","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/NJAV2iySU8","http://ift.tt/2mzAYKZ","ift.tt/2mzAYKZ","28.0","51.0","0.0","51.0","0.0","null","null","839307993556615168","null","False","0.0","8.3930799355661517E17","null","False","Wed Mar 08 02:53:13 +0000 2017","null","False","[環資訊息]從抗爭，到澆灌一片希望：專訪種樹的詩人吳晟 https://t.co/NJAV2iySU8","zh","null","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","","","","","","","","","","","","","","","https://t.co/W87E2KuuZd","http://ift.tt/2mjV8rX","ift.tt/2mjV8rX","31.0","54.0","0.0","54.0","0.0","null","null","839306720509837314","null","False","0.0","8.3930672050983731E17","null","False","Wed Mar 08 02:48:10 +0000 2017","null","False","[環資訊息]空污危機又一樁 研究：黑碳懸浮微粒增強細菌抗藥性 https://t.co/W87E2KuuZd","zh","null","null","null","","","","","","","","","","","","","",""
