"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__id","entities__media__media_url_https","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","contributors____-","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qMwAOZz3vz","http://ift.tt/2eH8aJ8","ift.tt/2eH8aJ8","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","796918967378083844","null","False","0.0","7.9691896737808384E17","null","False","Fri Nov 11 03:34:22 +0000 2016","null","False","[環資訊息]北極海冰怎麼融？ 研究：你的碳足跡一年融掉30立方公尺 https://t.co/qMwAOZz3vz","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/tt3ogGsfbJ","http://e-info.org.tw/node/201113","e-info.org.tw/node/201113","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","796918964332937216","null","False","0.0","7.9691896433293722E17","null","False","Fri Nov 11 03:34:21 +0000 2016","null","False","[環資訊息]【你來報報】魚翅沒產銷履歷 越南躍升最大進口國 https://t.co/tt3ogGsfbJ","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mLapxPSFXt","http://ift.tt/2fGE60R","ift.tt/2fGE60R","13.0","36.0","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","796918274655129601","null","False","0.0","7.969182746551296E17","null","False","Fri Nov 11 03:31:37 +0000 2016","null","False","[親子共學訊息]完美主義 https://t.co/mLapxPSFXt","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Q5erWd5UyU","http://ift.tt/2foZJn0","ift.tt/2foZJn0","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","796917664987971584","null","False","0.0","7.9691766498797158E17","null","False","Fri Nov 11 03:29:12 +0000 2016","null","False","[環資訊息]改良劣化地  高海拔造林靠「採種」真工夫 https://t.co/Q5erWd5UyU","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/nRp4X03pRo","http://e-info.org.tw/node/201128","e-info.org.tw/node/201128","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","796915225563922432","null","False","0.0","7.9691522556392243E17","null","False","Fri Nov 11 03:19:30 +0000 2016","null","False","[環資訊息]拒絕紫爆運動會  家長、NGO邀林佳龍辯論台中空污 https://t.co/nRp4X03pRo","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/teK7aRJthM","http://e-info.org.tw/node/201118","e-info.org.tw/node/201118","31.0","54.0","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","796913907231232000","null","False","0.0","7.96913907231232E17","null","False","Fri Nov 11 03:14:16 +0000 2016","null","False","[環資訊息]錢從哪來？ 《巴黎協定》需要更健全的氣候財務機制 https://t.co/teK7aRJthM","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/DDRSNMKAc7","http://ift.tt/2eH1ESH","ift.tt/2eH1ESH","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","796913905276780544","null","False","0.0","7.9691390527678054E17","null","False","Fri Nov 11 03:14:15 +0000 2016","null","False","[環資訊息]綠色和平：全球平板手機消耗30萬噸資源 回收不到一半 https://t.co/DDRSNMKAc7","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/fwFYO8ocMG","http://e-info.org.tw/node/201126","e-info.org.tw/node/201126","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","796906395874508800","null","False","0.0","7.969063958745088E17","null","False","Fri Nov 11 02:44:25 +0000 2016","null","False","[環資訊息]氣候變遷時代的新顯學：糧食、能源、水 https://t.co/fwFYO8ocMG","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/34d8sfSRdk","http://idemocracy.asia/news/1578","idemocracy.asia/news/1578","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","796892700784074752","null","False","0.0","7.9689270078407475E17","null","False","Fri Nov 11 01:50:00 +0000 2016","null","False","[民主書院訊息]國民黨大砍433名黨工 資遣費還沒著落 https://t.co/34d8sfSRdk","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/dGJuXKgZER","http://idemocracy.asia/news/1577","idemocracy.asia/news/1577","29.0","52.0","","","","","","","","","","","","","","","0.0","52.0","0.0","null","null","796892699030933504","null","False","0.0","7.968926990309335E17","null","False","Fri Nov 11 01:49:59 +0000 2016","null","False","[民主書院訊息]重審勞基法修正案 柯建銘提出「3不原則」 https://t.co/dGJuXKgZER","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mgpaFez2T2","http://idemocracy.asia/news/1576","idemocracy.asia/news/1576","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","796892697206329344","null","False","0.0","7.9689269720632934E17","null","False","Fri Nov 11 01:49:59 +0000 2016","null","False","[民主書院訊息]外交部賀川普當選 並提台灣關係法與6項保證 https://t.co/mgpaFez2T2","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yb5Zff4fMd","http://idemocracy.asia/news/1575","idemocracy.asia/news/1575","32.0","55.0","","","","","","","","","","","","","","","0.0","55.0","0.0","null","null","796892694727589888","null","False","0.0","7.9689269472758989E17","null","False","Fri Nov 11 01:49:58 +0000 2016","null","False","[民主書院訊息]中國官方數據顯示 中國農村留守兒童數量902萬 https://t.co/yb5Zff4fMd","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/TX6GbBHCKy","http://idemocracy.asia/news/1574","idemocracy.asia/news/1574","28.0","51.0","","","","","","","","","","","","","","","0.0","51.0","0.0","null","null","796892692718485504","null","False","0.0","7.968926927184855E17","null","False","Fri Nov 11 01:49:58 +0000 2016","null","False","[民主書院訊息]北京維權人士李美青出家門遭多名男子毆打 https://t.co/TX6GbBHCKy","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Tv71NoFp1Z","http://idemocracy.asia/news/1573","idemocracy.asia/news/1573","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","796891305230082049","null","False","0.0","7.9689130523008205E17","null","False","Fri Nov 11 01:44:27 +0000 2016","null","False","[民主書院訊息]加國”港加聯”團體抗議中國人大對香港基本法的解釋 https://t.co/Tv71NoFp1Z","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6CC21YvHTG","https://hotline.org.tw/event/1020","hotline.org.tw/event/1020","40.0","63.0","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","796752039686664192","null","False","0.0","7.9675203968666419E17","null","False","Thu Nov 10 16:31:03 +0000 2016","null","False","[同志熱線訊息]12/3（六）「愛你的跨性別孩子——跨性別者母親的對談」座談會 https://t.co/6CC21YvHTG","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/yVrJWoq1cM","https://taiwanfamily.com/100050","taiwanfamily.com/100050","8.0","31.0","","","","","","","","","","","","","","","0.0","31.0","0.0","null","null","796653822135402496","null","False","0.0","7.966538221354025E17","null","False","Thu Nov 10 10:00:46 +0000 2016","null","False","[護家盟訊息] https://t.co/yVrJWoq1cM","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ohpxj3uCdA","http://ngonewstw.blogspot.com/2016/11/just-uploaded-video_96.html","ngonewstw.blogspot.com/2016/11/just-u…","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","796649952239910912","null","False","0.0","7.9664995223991091E17","null","False","Thu Nov 10 09:45:24 +0000 2016","null","False","兒福聯盟 just uploaded a video https://t.co/ohpxj3uCdA","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/vjzPNI3Sux","http://www.greenpeace.org/taiwan/zh/news/stories/climate_energy/other_energies/2016/comfortable-energy-saving/","greenpeace.org/taiwan/zh/news…","27.0","50.0","","","","","","","","","","","","","","","0.0","50.0","0.0","null","null","796635553106194432","null","False","0.0","7.9663555310619443E17","null","False","Thu Nov 10 08:48:11 +0000 2016","null","False","[綠色和平台灣]要舒適還是要省電？您其實可以一次擁有 https://t.co/vjzPNI3Sux","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ppBhQHXo2i","http://www.greenpeace.org/taiwan/zh/press/releases/toxics/2016/resource-consumption-and-recycling/","greenpeace.org/taiwan/zh/pres…","36.0","59.0","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","796627983830286336","null","False","0.0","7.9662798383028634E17","null","False","Thu Nov 10 08:18:06 +0000 2016","null","False","[綠色和平台灣]全球平板電腦與手機耗用超過30萬噸資源　卻回收不到一半 https://t.co/ppBhQHXo2i","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PooU3wdDRt","http://e-info.org.tw/node/201111","e-info.org.tw/node/201111","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","796623273329065985","null","False","0.0","7.9662327332906598E17","null","False","Thu Nov 10 07:59:23 +0000 2016","null","False","[環資訊息]台中、彰化空污自治條例遭退  環署：得補件再審 https://t.co/PooU3wdDRt","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6dBJugsnBq","https://www.sow.org.tw/info/news/20161110/5066","sow.org.tw/info/news/2016…","43.0","66.0","","","","","","","","","","","","","","","0.0","66.0","0.0","null","null","796617012726366208","null","False","0.0","7.9661701272636621E17","null","False","Thu Nov 10 07:34:30 +0000 2016","null","False","[荒野訊息]「節能古城鹿耳門、綠點校園在土城」2016節能綠活圖成果體驗暨節能運動會 https://t.co/6dBJugsnBq","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Jlcq5gXki3","https://www.sow.org.tw/blog/32/20161108/5060","sow.org.tw/blog/32/201611…","25.0","48.0","","","","","","","","","","","","","","","0.0","48.0","0.0","null","null","796617011107430400","null","False","0.0","7.966170111074304E17","null","False","Thu Nov 10 07:34:30 +0000 2016","null","False","[荒野訊息]2016 國際溼地大會研討會參與心得 https://t.co/Jlcq5gXki3","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ekiJEKLfvB","https://www.sow.org.tw/blog/28/20161108/5059","sow.org.tw/blog/28/201611…","37.0","60.0","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","796617008926359552","null","False","0.0","7.9661700892635955E17","null","False","Thu Nov 10 07:34:30 +0000 2016","null","False","[荒野訊息]群策群力防沙蜥——記「認識外來入侵生物沙氏變色蜥暨移除活動」 https://t.co/ekiJEKLfvB","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XNmud2rE6V","https://www.sow.org.tw/blog/28/20161108/5058","sow.org.tw/blog/28/201611…","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","796617007458291712","null","False","0.0","7.9661700745829171E17","null","False","Thu Nov 10 07:34:29 +0000 2016","null","False","[荒野訊息]空襲警報，你今天暫時停止呼吸了嗎？——紀錄嘉義分會推師空汙培訓 https://t.co/XNmud2rE6V","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/j0E4NRgHcS","https://www.sow.org.tw/blog/32/20161108/5057","sow.org.tw/blog/32/201611…","38.0","61.0","","","","","","","","","","","","","","","0.0","61.0","0.0","null","null","796617005881098240","null","False","0.0","7.9661700588109824E17","null","False","Thu Nov 10 07:34:29 +0000 2016","null","False","[荒野訊息]溫柔的守護——荒野親子團北五團與嵩山社區共同守護百年梯田的故事 https://t.co/j0E4NRgHcS","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RvFyXx2Tkt","https://www.sow.org.tw/blog/31/20161108/5055","sow.org.tw/blog/31/201611…","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","796617003293405184","null","False","0.0","7.9661700329340518E17","null","False","Thu Nov 10 07:34:28 +0000 2016","null","False","[荒野訊息]「環保一年不會死？」——減碳生活再發現 https://t.co/RvFyXx2Tkt","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/RtbxHEDrPi","https://www.sow.org.tw/blog/20161108/5054","sow.org.tw/blog/20161108/…","13.0","36.0","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","796617000709668864","null","False","0.0","7.9661700070966886E17","null","False","Thu Nov 10 07:34:28 +0000 2016","null","False","[荒野訊息]愛在荒野流動 https://t.co/RtbxHEDrPi","ja","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/pagct8ZMMF","https://www.sow.org.tw/blog/33/20161108/5053","sow.org.tw/blog/33/201611…","21.0","44.0","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","796616999384350720","null","False","0.0","7.9661699938435072E17","null","False","Thu Nov 10 07:34:27 +0000 2016","null","False","[荒野訊息]臺北榮星花園公園棲地維護紀實 https://t.co/pagct8ZMMF","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/oa2ZYnKMPv","https://www.sow.org.tw/blog/34/20161108/5052","sow.org.tw/blog/34/201611…","26.0","49.0","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","796616997543051264","null","False","0.0","7.9661699754305126E17","null","False","Thu Nov 10 07:34:27 +0000 2016","null","False","[荒野訊息]在親子團與大海之母相遇——從親海到愛海 https://t.co/oa2ZYnKMPv","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ACOG2ss3RM","http://e-info.org.tw/node/201108","e-info.org.tw/node/201108","33.0","56.0","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","796613193145741313","null","False","0.0","7.9661319314574131E17","null","False","Thu Nov 10 07:19:20 +0000 2016","null","False","[環資訊息]解不了焚化爐底渣亂丟問題  立委喊砍環署垃圾處理預算 https://t.co/ACOG2ss3RM","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/IGEQwhycVk","http://www.huf.org.tw/event/content/3799","huf.org.tw/event/content/…","18.0","41.0","","","","","","","","","","","","","","","0.0","41.0","0.0","null","null","796607652931534849","null","False","0.0","7.9660765293153485E17","null","False","Thu Nov 10 06:57:19 +0000 2016","null","False","[主婦聯盟訊息]一週低碳飲食工作坊 https://t.co/IGEQwhycVk","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/C8HXB5rem1","http://ngonewstw.blogspot.com/2016/11/just-uploaded-video_60.html","ngonewstw.blogspot.com/2016/11/just-u…","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","796605925008310274","null","False","0.0","7.9660592500831027E17","null","False","Thu Nov 10 06:50:27 +0000 2016","null","False","董氏基金會心理衛生中心 just uploaded a video https://t.co/C8HXB5rem1","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ywixn0osmh","http://ngonewstw.blogspot.com/2016/11/just-uploaded-video_10.html","ngonewstw.blogspot.com/2016/11/just-u…","34.0","57.0","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","796590866093711360","null","False","0.0","7.9659086609371136E17","null","False","Thu Nov 10 05:50:37 +0000 2016","null","False","董氏基金會心理衛生中心 just uploaded a video https://t.co/ywixn0osmh","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/5LW03mldva","http://www.theunion.org.tw/news/865","theunion.org.tw/news/865","40.0","63.0","","","","","","","","","","","","","","","0.0","63.0","0.0","null","null","796574635114528768","null","False","0.0","7.9657463511452877E17","null","False","Thu Nov 10 04:46:07 +0000 2016","null","False","[高教工會訊息]教育部「旋轉門」變「任意門」？  高教工會「抓肥貓、揪門神」！ https://t.co/5LW03mldva","zh","null","","null","null","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/m2UPU5dvZx","http://e-info.org.tw/node/201084","e-info.org.tw/node/201084","30.0","53.0","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","796560397176283136","null","False","0.0","7.9656039717628314E17","null","False","Thu Nov 10 03:49:32 +0000 2016","null","False","[環資訊息]「零砍伐」牛肉成績單 麥當勞不及格 漢堡王掛零 https://t.co/m2UPU5dvZx","zh","null","","null","null","","","","","","","","","","","","","",""
