"coordinates","retweeted","source","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors","in_reply_to_screen_name","in_reply_to_user_id_str"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/e2Qh2Llmdt","http://twngo.xyz","twngo.xyz","18.0","41.0","0.0","65.0","0.0","null","null","865990875091959808","null","False","0.0","8.6599087509195981E17","null","False","Sat May 20 18:01:28 +0000 2017","null","False","2016全球NGO線上使用調查 – https://t.co/e2Qh2Llmdt https://t.co/BtieWovezX","ja","null","null","null"
"","","","","","","","","","","","","https://t.co/BtieWovezX","http://to.twngo.xyz/2pWoMac","to.twngo.xyz/2pWoMac","42.0","65.0","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","","","","NGO news from Taiwan","NGOnewsTW","24.0","34.0","770241326172418048","7.7024132617241805E17","https://t.co/NfqSNGdBCG","http://mo.nu/r/NGOnewsTW/4408/0?uid=4Fcq","mo.nu/r/NGOnewsTW/44…","74.0","97.0","0.0","122.0","0.0","null","null","865949831432241152","null","False","0.0","8.6594983143224115E17","null","False","Sat May 20 15:18:23 +0000 2017","null","False","Donate a tweet a day to @NGOnewsTW. Click the link and become a supporter https://t.co/NfqSNGdBCG ☞https://t.co/2CohkiBcXo","en","null","null","null"
"","","","","","","","","","","","","https://t.co/2CohkiBcXo","http://justcoz.org","justcoz.org","99.0","122.0","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://yala.social"" rel=""nofollow"">YalaBot</a>","","","","NGO news from Taiwan","NGOnewsTW","0.0","10.0","770241326172418048","7.7024132617241805E17","https://t.co/MtaFCD108j","http://to.twngo.xyz/2qU0MAk","to.twngo.xyz/2qU0MAk","45.0","68.0","0.0","68.0","0.0","865936399547211777","null","865936400272764928","7.7024132617241805E17","False","0.0","8.6593640027276493E17","8.6593639954721178E17","False","Sat May 20 14:25:00 +0000 2017","null","False","@NGOnewsTW 果衡量上能考慮採用此類普徧性的比較標準（或明白地了解為什麼不要使用）https://t.co/MtaFCD108j","zh","null","NGOnewsTW","770241326172418048"
"null","False","<a href=""https://yala.social"" rel=""nofollow"">YalaBot</a>","metrics","69.0","77.0","","","","","","","","","","","","0.0","77.0","0.0","null","null","865936399547211777","null","False","0.0","8.6593639954721178E17","null","","Sat May 20 14:25:00 +0000 2017","null","False","NGOs / NPOs (網路數位)表現評量指標 – 一文整理介紹一些英美國家NGO/NPO普徧上常使用的#KPI，或許當吾人對這些指標 #metrics","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBITaiwan","46.0","57.0","","","","","","","https://t.co/3CfcSa3wTC","http://ift.tt/2q3M4XH","ift.tt/2q3M4XH","22.0","45.0","0.0","57.0","0.0","null","null","865899820581613568","null","False","0.0","8.6589982058161357E17","null","False","Sat May 20 11:59:39 +0000 2017","null","False","[台灣基地]【《戀愛完成式》 電影觀賞會】 https://t.co/3CfcSa3wTC #LGBITaiwan","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/AtHWJUT0g8","http://ift.tt/2qEcgva","ift.tt/2qEcgva","31.0","54.0","0.0","54.0","0.0","null","null","865873268024238081","null","False","0.0","8.6587326802423808E17","null","False","Sat May 20 10:14:08 +0000 2017","null","False","[障礙者權益]【聲明稿】保障身心障礙者就業免受歧視是國家責任 https://t.co/AtHWJUT0g8","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBITaiwan","48.0","59.0","","","","","","","https://t.co/thsaKjr8YK","http://ift.tt/2q6fsMb","ift.tt/2q6fsMb","24.0","47.0","0.0","59.0","0.0","null","null","865869541007654912","null","False","0.0","8.6586954100765491E17","null","False","Sat May 20 09:59:20 +0000 2017","null","False","[台灣基地]【篩檢】護理師現約駐點「抽血」篩檢 https://t.co/thsaKjr8YK #LGBITaiwan","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBITaiwan","47.0","58.0","","","","","","","https://t.co/Ok2hpbStWi","http://ift.tt/2qBDd27","ift.tt/2qBDd27","23.0","46.0","0.0","58.0","0.0","null","null","865869537882906624","null","False","0.0","8.6586953788290662E17","null","False","Sat May 20 09:59:19 +0000 2017","null","False","[台灣基地]【在家愛滋唾液快速自我篩檢服務】 https://t.co/Ok2hpbStWi #LGBITaiwan","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBITaiwan","54.0","65.0","","","","","","","https://t.co/niM5Gl5tCo","http://ift.tt/2q6ooRE","ift.tt/2q6ooRE","30.0","53.0","0.0","65.0","0.0","null","null","865869532350603264","null","False","0.0","8.6586953235060326E17","null","False","Sat May 20 09:59:18 +0000 2017","null","False","[台灣基地]【資源連結】藥癮帕斯堤健康維護手冊(2014) https://t.co/niM5Gl5tCo #LGBITaiwan","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/L88XiDngOe","http://ift.tt/2pViJ5G","ift.tt/2pViJ5G","41.0","64.0","0.0","64.0","0.0","null","null","865844152214462464","null","False","0.0","8.6584415221446246E17","null","False","Sat May 20 08:18:27 +0000 2017","null","False","[主婦聯盟訊息]【新聞稿】2017全球反孟山都行動台灣/反孟山都，看見台灣記者會 https://t.co/L88XiDngOe","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LGBITaiwan","62.0","73.0","","","","","","","https://t.co/EfDPw7tjjh","http://ift.tt/2qB5N3O","ift.tt/2qB5N3O","38.0","61.0","0.0","73.0","0.0","null","null","865839443621621760","null","False","0.0","8.6583944362162176E17","null","False","Sat May 20 07:59:44 +0000 2017","null","False","[台灣基地]社團法人台灣基地協會106年度少數性別者之處遇知能專業人員訓練 https://t.co/EfDPw7tjjh #LGBITaiwan","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/YNPQAH9xzp","http://ift.tt/2qHbueQ","ift.tt/2qHbueQ","32.0","55.0","0.0","55.0","0.0","null","null","865814228741042178","null","False","0.0","8.6581422874104218E17","null","False","Sat May 20 06:19:32 +0000 2017","null","False","[同志熱線訊息]20170610【南部】嬡拉蕾愛聊天-情緒勒索 https://t.co/YNPQAH9xzp","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/wZSjrHaDez","http://ift.tt/2rBQd5w","ift.tt/2rBQd5w","32.0","55.0","0.0","55.0","0.0","null","null","865810219250708480","null","False","0.0","8.6581021925070848E17","null","False","Sat May 20 06:03:36 +0000 2017","null","False","[環資訊息]捍衛「非基改」午餐 主婦聯盟遊行 連線全球反孟山都 https://t.co/wZSjrHaDez","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mKie8euVH2","http://ift.tt/2rC26sh","ift.tt/2rC26sh","48.0","71.0","0.0","71.0","0.0","null","null","865789446393876480","null","False","0.0","8.6578944639387648E17","null","False","Sat May 20 04:41:04 +0000 2017","null","False","【權促電子報】第23期：維權工作不能沒有你 --2017年權促會諮詢小組志工招募中 快快來報名 https://t.co/mKie8euVH2","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/9KxKuDFmSp","http://ift.tt/2qGHRKJ","ift.tt/2qGHRKJ","37.0","60.0","0.0","60.0","0.0","null","null","865735908473143296","null","False","0.0","8.657359084731433E17","null","False","Sat May 20 01:08:19 +0000 2017","null","False","[環資訊息]這種冰棒你敢吃？  100%純污水製冰所 SHOW台灣水污染 https://t.co/9KxKuDFmSp","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/84acNeLy7O","http://ift.tt/2rA1frU","ift.tt/2rA1frU","30.0","53.0","0.0","53.0","0.0","null","null","865612536066052096","null","False","0.0","8.656125360660521E17","null","False","Fri May 19 16:58:05 +0000 2017","null","False","[高教工會訊息]何謂「公平」？從年金改革背後的公平理念談起 https://t.co/84acNeLy7O","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/qWPFedC3iR","http://ift.tt/2q3Tx8h","ift.tt/2q3Tx8h","31.0","54.0","0.0","54.0","0.0","null","null","865589998162030592","null","False","0.0","8.6558999816203059E17","null","False","Fri May 19 15:28:32 +0000 2017","null","False","[公督盟訊息]黃秀端連任公督盟理事長  監督國會 十年有成！ https://t.co/qWPFedC3iR","zh","null","null","null"
"null","False","<a href=""http://justcoz.org"" rel=""nofollow"">justcoz</a>","","","","NGO news from Taiwan","NGOnewsTW","24.0","34.0","770241326172418048","7.7024132617241805E17","https://t.co/NfqSNGdBCG","http://mo.nu/r/NGOnewsTW/4408/0?uid=4Fcq","mo.nu/r/NGOnewsTW/44…","74.0","97.0","0.0","122.0","0.0","null","null","865587098618798081","null","False","0.0","8.6558709861879808E17","null","False","Fri May 19 15:17:00 +0000 2017","null","False","Donate a tweet a day to @NGOnewsTW. Click the link and become a supporter https://t.co/NfqSNGdBCG ☞https://t.co/2CohkiBcXo","en","null","null","null"
"","","","","","","","","","","","","https://t.co/2CohkiBcXo","http://justcoz.org","justcoz.org","99.0","122.0","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iu9PTTO9kR","http://ift.tt/2ryYvLx","ift.tt/2ryYvLx","44.0","67.0","0.0","67.0","0.0","null","null","865535570021294081","null","False","0.0","8.6553557002129408E17","null","False","Fri May 19 11:52:15 +0000 2017","null","False","[愛滋感染者權益]【權促電子報】第23期：一起來維權 2017年權促會諮詢小組志工招募 https://t.co/iu9PTTO9kR","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Wy7mAg352g","http://ift.tt/2qEbsnQ","ift.tt/2qEbsnQ","28.0","51.0","0.0","51.0","0.0","null","null","865509937387978752","null","False","0.0","8.6550993738797875E17","null","False","Fri May 19 10:10:24 +0000 2017","null","False","[司改會訊息]公民不服從七要件？—318判決評析座談會 https://t.co/Wy7mAg352g","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/SHOkwjpMAm","http://ift.tt/2rljsgr","ift.tt/2rljsgr","24.0","47.0","0.0","47.0","0.0","null","null","865504621149569024","null","False","0.0","8.6550462114956902E17","null","False","Fri May 19 09:49:16 +0000 2017","null","False","[平冤訊息]《平冤週報》  5/13~5/19 https://t.co/SHOkwjpMAm","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/R45ptArOIK","http://ift.tt/2ryekBS","ift.tt/2ryekBS","21.0","44.0","0.0","44.0","0.0","null","null","865495581468250113","null","False","0.0","8.6549558146825011E17","null","False","Fri May 19 09:13:21 +0000 2017","null","False","[開拓基金會]以勞動力實踐生活的媽媽身影 https://t.co/R45ptArOIK","zh","null","null","null"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/aF1oIQk3vy","http://ift.tt/2rkYuhE","ift.tt/2rkYuhE","24.0","47.0","0.0","47.0","0.0","null","null","865493121664131073","null","False","0.0","8.6549312166413107E17","null","False","Fri May 19 09:03:34 +0000 2017","null","False","[環資訊息]迷鳥奇遇記 過境金門田園的八聲杜鵑 https://t.co/aF1oIQk3vy","zh","null","null","null"
