"coordinates","retweeted","source","entities__user_mentions__name","entities__user_mentions__screen_name","entities__user_mentions__indices__001","entities__user_mentions__indices__002","entities__user_mentions__id_str","entities__user_mentions__id","entities__hashtags__text","entities__hashtags__indices__001","entities__hashtags__indices__002","entities__urls__url","entities__urls__expanded_url","entities__urls__display_url","entities__urls__indices__001","entities__urls__indices__002","entities__media__expanded_url","entities__media__source_status_id","entities__media__indices__001","entities__media__indices__002","entities__media__url","entities__media__media_url","entities__media__id_str","entities__media__source_user_id","entities__media__id","entities__media__media_url_https","entities__media__source_user_id_str","entities__media__sizes__|","entities__media__sizes__|__w","entities__media__sizes__|__h","entities__media__sizes__|__resize","entities__media__type","entities__media__source_status_id_str","entities__media__display_url","display_text_range__001","display_text_range__002","favorite_count","in_reply_to_status_id_str","geo","id_str","in_reply_to_user_id","truncated","retweet_count","id","in_reply_to_status_id","possibly_sensitive","created_at","place","favorited","full_text","lang","contributors____-","contributors","in_reply_to_screen_name","in_reply_to_user_id_str","extended_entities__media__expanded_url","extended_entities__media__source_status_id","extended_entities__media__indices__001","extended_entities__media__indices__002","extended_entities__media__url","extended_entities__media__media_url","extended_entities__media__id_str","extended_entities__media__source_user_id","extended_entities__media__id","extended_entities__media__media_url_https","extended_entities__media__source_user_id_str","extended_entities__media__sizes__|","extended_entities__media__sizes__|__w","extended_entities__media__sizes__|__h","extended_entities__media__sizes__|__resize","extended_entities__media__type","extended_entities__media__source_status_id_str","extended_entities__media__display_url"
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PsK1rAaNwq","https://twngo.cf/2yrszQA","twngo.cf/2yrszQA","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915854222977060864","null","False","0.0","9.1585422297706086E17","null","False","Thu Oct 05 08:20:37 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/PsK1rAaNwq","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UiGhIsLNiL","https://twngo.cf/2fTr85Y","twngo.cf/2fTr85Y","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915852929525075968","null","False","0.0","9.1585292952507597E17","null","False","Thu Oct 05 08:15:28 +0000 2017","null","False","董氏基金會菸害防制中心 just uploaded a video https://t.co/UiGhIsLNiL","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/XCHo3N1hpZ","https://twngo.cf/2fM8RDH","twngo.cf/2fM8RDH","34.0","57.0","","","","","","","","","","","","","","","","","","","0.0","57.0","0.0","null","null","915832041685618688","null","False","0.0","9.1583204168561869E17","null","False","Thu Oct 05 06:52:28 +0000 2017","null","False","[環資訊息]台北港「沒空間」 沈榮津：第三天然氣接收站還是要在觀塘 https://t.co/XCHo3N1hpZ","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/PzP1CkXmfl","https://twngo.cf/2yZpS5Q","twngo.cf/2yZpS5Q","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","915831033576218626","null","False","0.0","9.1583103357621862E17","null","False","Thu Oct 05 06:48:28 +0000 2017","null","False","[伴侶盟訊息]反同踢鐵板　北市定調：性平會家長代表「不限家長會」 https://t.co/PzP1CkXmfl","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/cQXUoKdRod","https://twngo.cf/2xV6zwG","twngo.cf/2xV6zwG","31.0","54.0","","","","","","","","","","","","","","","","","","","0.0","54.0","0.0","null","null","915824472829186049","null","False","0.0","9.1582447282918605E17","null","False","Thu Oct 05 06:22:24 +0000 2017","null","False","[環資訊息]經部次長稱 中火影響空污「微乎其微」 挨批沒人性 https://t.co/cQXUoKdRod","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/VjQsFB3NsN","https://twngo.cf/2gdkKU5","twngo.cf/2gdkKU5","36.0","59.0","","","","","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","915805118100107264","null","False","0.0","9.1580511810010726E17","null","False","Thu Oct 05 05:05:29 +0000 2017","null","False","[高教工會訊息]反對台灣觀光學院犧牲師生權益，公益董事換「博弈」董事！ https://t.co/VjQsFB3NsN","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sCAbTXno9J","https://twngo.cf/2y07Guf","twngo.cf/2y07Guf","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","915795765699768320","null","False","0.0","9.1579576569976832E17","null","False","Thu Oct 05 04:28:19 +0000 2017","null","False","[中華記協訊息]2017中華新聞記者協會遼寧河北參訪團繽紛錄之1 https://t.co/sCAbTXno9J","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6OvJP3ytTO","https://twngo.cf/2kp5GqZ","twngo.cf/2kp5GqZ","44.0","67.0","","","","","","","","","","","","","","","","","","","0.0","67.0","0.0","null","null","915795763682258945","null","False","0.0","9.1579576368225894E17","null","False","Thu Oct 05 04:28:19 +0000 2017","null","False","[中華記協訊息]2017中華新聞記者協會袁天明理事長率團赴遼寧河北進行交流參訪成果豐碩 https://t.co/6OvJP3ytTO","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/0UmX6tWbzL","https://twngo.cf/2xSyRbt","twngo.cf/2xSyRbt","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","915791007534415872","null","False","0.0","9.1579100753441587E17","null","False","Thu Oct 05 04:09:25 +0000 2017","null","False","法律扶助基金會 just uploaded a video https://t.co/0UmX6tWbzL","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Z3o7NAS7OX","https://twngo.cf/2y0LXm8","twngo.cf/2y0LXm8","13.0","36.0","","","","","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","915790017838092288","null","False","0.0","9.1579001783809229E17","null","False","Thu Oct 05 04:05:29 +0000 2017","null","False","[高教工會訊息]繳交會費 https://t.co/Z3o7NAS7OX","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Z3o7NAS7OX","https://twngo.cf/2y0LXm8","twngo.cf/2y0LXm8","13.0","36.0","","","","","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","915790016416223232","null","False","0.0","9.1579001641622323E17","null","False","Thu Oct 05 04:05:29 +0000 2017","null","False","[高教工會訊息]小額捐款 https://t.co/Z3o7NAS7OX","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/20jVjbB6JZ","https://twngo.cf/2gcK6Bu","twngo.cf/2gcK6Bu","13.0","36.0","","","","","","","","","","","","","","","","","","","0.0","36.0","0.0","null","null","915787456343101441","null","False","0.0","9.1578745634310144E17","null","False","Thu Oct 05 03:55:18 +0000 2017","null","False","[高教工會訊息]加入公會 https://t.co/20jVjbB6JZ","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iGhmDjwIrf","https://twngo.cf/2xhIb9c","twngo.cf/2xhIb9c","26.0","49.0","","","","","","","","","","","","","","","","","","","0.0","49.0","0.0","null","null","915770350679527424","null","False","0.0","9.1577035067952742E17","null","False","Thu Oct 05 02:47:20 +0000 2017","null","False","[白絲帶協會]免費信箱遭入侵　學者提醒用戶勤換帳密 https://t.co/iGhmDjwIrf","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/ZAbNJzG7Tl","https://twngo.cf/2fSm41N","twngo.cf/2fSm41N","36.0","59.0","","","","","","","","","","","","","","","","","","","0.0","59.0","0.0","null","null","915765336624041984","null","False","0.0","9.1576533662404198E17","null","False","Thu Oct 05 02:27:25 +0000 2017","null","False","[環資訊息]成立國家公園保護棲地  將改變中國野生東北虎豹命運的大事件 https://t.co/ZAbNJzG7Tl","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/iwT2NfitNM","https://twngo.cf/2xT0OQf","twngo.cf/2xT0OQf","35.0","58.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","915761562652151808","null","False","0.0","9.1576156265215181E17","null","False","Thu Oct 05 02:12:25 +0000 2017","null","False","[環資訊息]「外熱內冷」？ 哈瑪星生態交通示範區 部分商家抱怨掉生意 https://t.co/iwT2NfitNM","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/NkQ93Zfkd5","https://twngo.cf/2koeKfx","twngo.cf/2koeKfx","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","915755253659832321","null","False","0.0","9.1575525365983232E17","null","False","Thu Oct 05 01:47:21 +0000 2017","null","False","[環資訊息]用蒸氣發電替水庫節水 美研究看好「蒸發能」前景 https://t.co/NkQ93Zfkd5","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/LERV4H64Xr","https://twngo.cf/2koOKRp","twngo.cf/2koOKRp","35.0","58.0","","","","","","","","","","","","","","","","","","","0.0","58.0","0.0","null","null","915752783340621824","null","False","0.0","9.1575278334062182E17","null","False","Thu Oct 05 01:37:32 +0000 2017","null","False","[環資訊息]走私食蛇龜重判7年  野保法重要判決  保護原生龜露曙光 https://t.co/LERV4H64Xr","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/sXg3ua0EIx","https://twngo.cf/2y0Vwlf","twngo.cf/2y0Vwlf","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","915751431168196610","null","False","0.0","9.1575143116819661E17","null","False","Thu Oct 05 01:32:09 +0000 2017","null","False","[台權會訊息]李明哲案可能已經秘密宣判——因應李明哲案宣判記者會 https://t.co/sXg3ua0EIx","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/UUyXBUUvgn","https://twngo.cf/2xgEyLP","twngo.cf/2xgEyLP","45.0","68.0","","","","","","","","","","","","","","","","","","","0.0","68.0","0.0","null","null","915571240349388800","null","False","0.0","9.155712403493888E17","null","False","Wed Oct 04 13:36:08 +0000 2017","null","False","[愛滋感染者權益]【權促電子報】第27期：事實或是歧視---男男性行為與愛滋間的各式糾結 https://t.co/UUyXBUUvgn","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/mb5btqHQDl","https://twngo.cf/2xUgqAK","twngo.cf/2xUgqAK","21.0","44.0","","","","","","","","","","","","","","","","","","","0.0","44.0","0.0","null","null","915569589114867712","null","False","0.0","9.1556958911486771E17","null","False","Wed Oct 04 13:29:35 +0000 2017","null","False","台少盟全體同仁祝福您：中秋佳節平安愉快！ https://t.co/mb5btqHQDl","ja","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/htA10z3HJD","https://twngo.cf/2xRX6GB","twngo.cf/2xRX6GB","14.0","37.0","","","","","","","","","","","","","","","","","","","0.0","37.0","0.0","null","null","915547775349264384","null","False","0.0","9.1554777534926438E17","null","False","Wed Oct 04 12:02:54 +0000 2017","null","False","[親子共學訊息]與傷心相遇 https://t.co/htA10z3HJD","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","57.0","63.0","https://t.co/vjmz3DZkMa","https://twngo.cf/2xRvCyd","twngo.cf/2xRvCyd","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","69.0","0.0","null","null","915404022101790720","null","False","0.0","9.1540402210179072E17","null","False","Wed Oct 04 02:31:40 +0000 2017","null","False","[民主書院訊息]RFA獨家：新疆當局強制少數民族家庭高掛習近平像 https://t.co/vjmz3DZkMa #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","64.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","52.0","58.0","https://t.co/hs1aOFwiAK","https://twngo.cf/2yIccv3","twngo.cf/2yIccv3","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","915404018700181506","null","False","0.0","9.154040187001815E17","null","False","Wed Oct 04 02:31:40 +0000 2017","null","False","[民主書院訊息]李明哲遭秘密審判？ 台質疑宣判期限已到 https://t.co/hs1aOFwiAK #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","59.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","53.0","59.0","https://t.co/7lZ8sMpRv7","https://twngo.cf/2xSh55A","twngo.cf/2xSh55A","29.0","52.0","","","","","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","915404014229102592","null","False","0.0","9.1540401422910259E17","null","False","Wed Oct 04 02:31:39 +0000 2017","null","False","[民主書院訊息]青海澤庫縣248名微信群主被強制接受教育 https://t.co/7lZ8sMpRv7 #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","60.0","65.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","53.0","59.0","https://t.co/EZVAf6MoKx","https://twngo.cf/2xf5Thx","twngo.cf/2xf5Thx","29.0","52.0","","","","","","","","","","","","","","","","","","","0.0","65.0","0.0","null","null","915402266768760832","null","False","0.0","9.1540226676876083E17","null","False","Wed Oct 04 02:24:42 +0000 2017","null","False","[民主書院訊息]村民抗拆釀1死1傷　當局漠視群情持續強拆 https://t.co/EZVAf6MoKx #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","60.0","65.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","48.0","54.0","https://t.co/Rf1VgVIb20","https://twngo.cf/2ynrNnV","twngo.cf/2ynrNnV","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","915402264654827522","null","False","0.0","9.1540226465482752E17","null","False","Wed Oct 04 02:24:41 +0000 2017","null","False","[民主書院訊息]印度流亡藏人圖片展　遭惡女踢場 https://t.co/Rf1VgVIb20 #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","55.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","48.0","54.0","https://t.co/lEvajIhcdY","https://twngo.cf/2xfqqCq","twngo.cf/2xfqqCq","24.0","47.0","","","","","","","","","","","","","","","","","","","0.0","60.0","0.0","null","null","915402262985535488","null","False","0.0","9.1540226298553549E17","null","False","Wed Oct 04 02:24:41 +0000 2017","null","False","[民主書院訊息]印度流亡藏人圖片展　遭惡女踢場 https://t.co/lEvajIhcdY #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","55.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","China","52.0","58.0","https://t.co/5ufXix5NWB","https://twngo.cf/2ymOuII","twngo.cf/2ymOuII","28.0","51.0","","","","","","","","","","","","","","","","","","","0.0","64.0","0.0","null","null","915402261106495488","null","False","0.0","9.1540226110649549E17","null","False","Wed Oct 04 02:24:41 +0000 2017","null","False","[民主書院訊息]台灣官方慶“雙十”，“中華民國“不再提 https://t.co/5ufXix5NWB #China #中國人權","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","中國人權","59.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/6zqEjFHHBo","https://twngo.cf/2xdOC8a","twngo.cf/2xdOC8a","45.0","68.0","","","","","","","","","","","","","","","","","","","0.0","68.0","0.0","null","null","915211513379647488","null","False","0.0","9.1521151337964749E17","null","False","Tue Oct 03 13:46:43 +0000 2017","null","False","[永社]天燈升起 改革前進 --「民間監督落實司改國是會議決議聯盟」成立記者會 新聞稿  https://t.co/6zqEjFHHBo","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/Y00EMiZnG8","https://twngo.cf/2g7uPSn","twngo.cf/2g7uPSn","30.0","53.0","","","","","","","","","","","","","","","","","","","0.0","53.0","0.0","null","null","915185527082688512","null","False","0.0","9.1518552708268851E17","null","False","Tue Oct 03 12:03:27 +0000 2017","null","False","[親子共學訊息]台東垃圾去哪裡？之 焚化爐蓋了不用好可惜？ https://t.co/Y00EMiZnG8","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/2yjAfB1Ghq","https://twngo.cf/2xcJPUC","twngo.cf/2xcJPUC","54.0","77.0","","","","","","","","","","","","","","","","","","","0.0","77.0","0.0","null","null","915160667958759424","null","False","0.0","9.1516066795875942E17","null","False","Tue Oct 03 10:24:40 +0000 2017","null","False","台灣同志諮詢熱線 Taiwan Tongzhi Hotline just uploaded a video https://t.co/2yjAfB1Ghq","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/OMrmO2iAru","https://twngo.cf/2hLRabB","twngo.cf/2hLRabB","61.0","84.0","","","","","","","","","","","","","","","","","","","0.0","84.0","0.0","null","null","915156284063862784","null","False","0.0","9.1515628406386278E17","null","False","Tue Oct 03 10:07:15 +0000 2017","null","False","[老盟訊息]老盟失蹤老人協尋中心「戀鍊365 戴你回家」記者會，盼全民協尋助團聚，籲弱勢長者免費申請預防走失「愛的手鍊」 https://t.co/OMrmO2iAru","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
"null","False","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","","","","","https://t.co/lpqux26991","https://twngo.cf/2g7oF4u","twngo.cf/2g7oF4u","33.0","56.0","","","","","","","","","","","","","","","","","","","0.0","56.0","0.0","null","null","915152784391114752","null","False","0.0","9.1515278439111475E17","null","False","Tue Oct 03 09:53:21 +0000 2017","null","False","[環資訊息]【愛知目標】全球生物多樣性的當前進展與改善要務（下） https://t.co/lpqux26991","zh","","null","null","null","","","","","","","","","","","","","","","","","",""
